Epoch: 0, time: 0.502, Train Loss: 4.830e-02,Vali Loss: 2.913e-02, Train l2: 1.4500, Vali l2: 0.8641
Epoch: 1, time: 0.125, Train Loss: 1.516e-02,Vali Loss: 6.205e-03, Train l2: 0.6766, Vali l2: 0.5034
Epoch: 2, time: 0.124, Train Loss: 3.743e-03,Vali Loss: 5.308e-03, Train l2: 0.2702, Vali l2: 0.2900
Epoch: 3, time: 0.126, Train Loss: 1.223e-03,Vali Loss: 4.608e-03, Train l2: 0.1601, Vali l2: 0.2641
Epoch: 4, time: 0.126, Train Loss: 4.636e-04,Vali Loss: 4.395e-03, Train l2: 0.1124, Vali l2: 0.2542
Epoch: 5, time: 0.126, Train Loss: 3.598e-04,Vali Loss: 4.572e-03, Train l2: 0.1167, Vali l2: 0.2767
Epoch: 6, time: 0.124, Train Loss: 6.541e-04,Vali Loss: 6.097e-03, Train l2: 0.1742, Vali l2: 0.4303
Epoch: 7, time: 0.124, Train Loss: 1.185e-03,Vali Loss: 2.525e-03, Train l2: 0.2985, Vali l2: 0.2723
Epoch: 8, time: 0.124, Train Loss: 6.529e-04,Vali Loss: 3.531e-03, Train l2: 0.1574, Vali l2: 0.2310
Epoch: 9, time: 0.124, Train Loss: 2.490e-04,Vali Loss: 3.330e-03, Train l2: 0.0985, Vali l2: 0.2801
Epoch: 10, time: 0.124, Train Loss: 7.004e-04,Vali Loss: 3.323e-03, Train l2: 0.2233, Vali l2: 0.3894
Epoch: 11, time: 0.125, Train Loss: 4.731e-04,Vali Loss: 3.447e-03, Train l2: 0.1209, Vali l2: 0.2412
Epoch: 12, time: 0.124, Train Loss: 4.234e-04,Vali Loss: 3.315e-03, Train l2: 0.1341, Vali l2: 0.2304
Epoch: 13, time: 0.127, Train Loss: 3.393e-04,Vali Loss: 4.226e-03, Train l2: 0.1662, Vali l2: 0.4024
Epoch: 14, time: 0.125, Train Loss: 7.467e-04,Vali Loss: 2.957e-03, Train l2: 0.2428, Vali l2: 0.3478
Epoch: 15, time: 0.126, Train Loss: 1.608e-03,Vali Loss: 2.900e-03, Train l2: 0.3209, Vali l2: 0.3150
Epoch: 16, time: 0.126, Train Loss: 5.971e-04,Vali Loss: 2.834e-03, Train l2: 0.1749, Vali l2: 0.2548
Epoch: 17, time: 0.128, Train Loss: 5.183e-04,Vali Loss: 4.047e-03, Train l2: 0.1202, Vali l2: 0.2514
Epoch: 18, time: 0.127, Train Loss: 3.530e-04,Vali Loss: 3.213e-03, Train l2: 0.1162, Vali l2: 0.2157
Epoch: 19, time: 0.125, Train Loss: 2.497e-04,Vali Loss: 3.756e-03, Train l2: 0.1172, Vali l2: 0.2432
Epoch: 20, time: 0.124, Train Loss: 6.070e-04,Vali Loss: 2.483e-03, Train l2: 0.1435, Vali l2: 0.2157
Epoch: 21, time: 0.124, Train Loss: 4.824e-04,Vali Loss: 3.412e-03, Train l2: 0.1019, Vali l2: 0.2192
Epoch: 22, time: 0.129, Train Loss: 4.948e-04,Vali Loss: 4.493e-03, Train l2: 0.1502, Vali l2: 0.2661
Epoch: 23, time: 0.127, Train Loss: 4.574e-04,Vali Loss: 2.678e-03, Train l2: 0.1258, Vali l2: 0.2066
