Epoch: 0, time: 0.577, Train Loss: 3.681e-02,Vali Loss: 2.541e-02, Train l2: 0.9210, Vali l2: 1.2994
Epoch: 1, time: 0.178, Train Loss: 7.783e-03,Vali Loss: 4.614e-03, Train l2: 0.7449, Vali l2: 0.2620
Epoch: 2, time: 0.177, Train Loss: 1.991e-03,Vali Loss: 3.298e-03, Train l2: 0.2470, Vali l2: 0.2684
Epoch: 3, time: 0.174, Train Loss: 2.201e-03,Vali Loss: 3.968e-03, Train l2: 0.3230, Vali l2: 0.2581
Epoch: 4, time: 0.177, Train Loss: 5.088e-04,Vali Loss: 5.198e-03, Train l2: 0.1310, Vali l2: 0.2779
Epoch: 5, time: 0.177, Train Loss: 2.427e-04,Vali Loss: 4.703e-03, Train l2: 0.0886, Vali l2: 0.3455
Epoch: 6, time: 0.177, Train Loss: 4.610e-04,Vali Loss: 5.458e-03, Train l2: 0.1979, Vali l2: 0.4903
Epoch: 7, time: 0.177, Train Loss: 5.158e-04,Vali Loss: 4.365e-03, Train l2: 0.2101, Vali l2: 0.3551
Epoch: 8, time: 0.178, Train Loss: 6.845e-04,Vali Loss: 4.834e-03, Train l2: 0.1905, Vali l2: 0.3176
Epoch: 9, time: 0.176, Train Loss: 3.018e-04,Vali Loss: 3.934e-03, Train l2: 0.1224, Vali l2: 0.2594
Epoch: 10, time: 0.180, Train Loss: 2.707e-04,Vali Loss: 4.173e-03, Train l2: 0.0791, Vali l2: 0.2541
Epoch: 11, time: 0.175, Train Loss: 2.110e-04,Vali Loss: 4.134e-03, Train l2: 0.0751, Vali l2: 0.2736
Epoch: 12, time: 0.176, Train Loss: 2.479e-04,Vali Loss: 5.483e-03, Train l2: 0.1032, Vali l2: 0.2863
Epoch: 13, time: 0.176, Train Loss: 4.256e-04,Vali Loss: 4.294e-03, Train l2: 0.1046, Vali l2: 0.2525
Epoch: 14, time: 0.177, Train Loss: 2.670e-04,Vali Loss: 3.806e-03, Train l2: 0.0980, Vali l2: 0.2653
Epoch: 15, time: 0.176, Train Loss: 4.407e-04,Vali Loss: 3.701e-03, Train l2: 0.1801, Vali l2: 0.2575
Epoch: 16, time: 0.174, Train Loss: 2.899e-04,Vali Loss: 4.879e-03, Train l2: 0.1331, Vali l2: 0.2912
Epoch: 17, time: 0.177, Train Loss: 2.195e-04,Vali Loss: 4.096e-03, Train l2: 0.1120, Vali l2: 0.2629
Epoch: 18, time: 0.174, Train Loss: 1.411e-04,Vali Loss: 4.244e-03, Train l2: 0.0750, Vali l2: 0.3480
Epoch: 19, time: 0.179, Train Loss: 3.601e-04,Vali Loss: 5.548e-03, Train l2: 0.1250, Vali l2: 0.3491
