Epoch: 0, time: 0.483, Train Loss: 2.117e-01,Vali Loss: 1.419e-01, Train l2: 4.2885, Vali l2: 4.5347
Epoch: 1, time: 0.081, Train Loss: 1.507e-01,Vali Loss: 8.330e-02, Train l2: 3.8210, Vali l2: 3.3057
Epoch: 2, time: 0.079, Train Loss: 8.798e-02,Vali Loss: 1.277e-01, Train l2: 2.2161, Vali l2: 4.7148
Epoch: 3, time: 0.083, Train Loss: 1.237e-01,Vali Loss: 9.095e-02, Train l2: 3.0589, Vali l2: 2.3350
Epoch: 4, time: 0.082, Train Loss: 9.971e-02,Vali Loss: 6.718e-02, Train l2: 2.5516, Vali l2: 2.0128
Epoch: 5, time: 0.082, Train Loss: 7.692e-02,Vali Loss: 9.834e-02, Train l2: 1.7828, Vali l2: 2.5941
Epoch: 6, time: 0.079, Train Loss: 7.682e-02,Vali Loss: 4.238e-02, Train l2: 1.8095, Vali l2: 1.3589
Epoch: 7, time: 0.081, Train Loss: 5.887e-02,Vali Loss: 4.936e-02, Train l2: 1.2828, Vali l2: 1.1283
Epoch: 8, time: 0.079, Train Loss: 4.978e-02,Vali Loss: 4.121e-02, Train l2: 1.0984, Vali l2: 1.0853
Epoch: 9, time: 0.081, Train Loss: 6.190e-02,Vali Loss: 5.612e-02, Train l2: 1.2022, Vali l2: 1.4446
Epoch: 10, time: 0.080, Train Loss: 7.059e-02,Vali Loss: 5.256e-02, Train l2: 1.3351, Vali l2: 1.2146
Epoch: 11, time: 0.081, Train Loss: 6.362e-02,Vali Loss: 4.770e-02, Train l2: 1.1348, Vali l2: 1.0611
Epoch: 12, time: 0.081, Train Loss: 6.384e-02,Vali Loss: 5.817e-02, Train l2: 1.1219, Vali l2: 1.1747
Epoch: 13, time: 0.080, Train Loss: 7.014e-02,Vali Loss: 4.917e-02, Train l2: 1.1390, Vali l2: 1.0534
Epoch: 14, time: 0.082, Train Loss: 5.863e-02,Vali Loss: 4.888e-02, Train l2: 1.0206, Vali l2: 1.0309
Epoch: 15, time: 0.080, Train Loss: 6.247e-02,Vali Loss: 4.035e-02, Train l2: 1.0745, Vali l2: 0.8734
Epoch: 16, time: 0.081, Train Loss: 5.529e-02,Vali Loss: 3.930e-02, Train l2: 1.0504, Vali l2: 0.8315
Epoch: 17, time: 0.079, Train Loss: 5.580e-02,Vali Loss: 4.009e-02, Train l2: 0.9986, Vali l2: 0.8712
Epoch: 18, time: 0.078, Train Loss: 5.412e-02,Vali Loss: 3.678e-02, Train l2: 0.9049, Vali l2: 0.8122
Epoch: 19, time: 0.080, Train Loss: 5.639e-02,Vali Loss: 4.971e-02, Train l2: 1.0770, Vali l2: 1.4071
Epoch: 20, time: 0.079, Train Loss: 6.203e-02,Vali Loss: 4.475e-02, Train l2: 1.0480, Vali l2: 1.0144
Epoch: 21, time: 0.081, Train Loss: 5.904e-02,Vali Loss: 5.523e-02, Train l2: 1.1728, Vali l2: 1.1983
Epoch: 22, time: 0.077, Train Loss: 6.246e-02,Vali Loss: 4.392e-02, Train l2: 1.1354, Vali l2: 1.1171
Epoch: 23, time: 0.081, Train Loss: 6.260e-02,Vali Loss: 5.393e-02, Train l2: 1.1146, Vali l2: 0.9626
Epoch: 24, time: 0.081, Train Loss: 5.605e-02,Vali Loss: 3.628e-02, Train l2: 1.0075, Vali l2: 0.8317
Epoch: 25, time: 0.081, Train Loss: 4.893e-02,Vali Loss: 3.371e-02, Train l2: 0.9171, Vali l2: 1.0102
Epoch: 26, time: 0.079, Train Loss: 7.304e-02,Vali Loss: 5.221e-02, Train l2: 1.3412, Vali l2: 1.0765
Epoch: 27, time: 0.079, Train Loss: 6.614e-02,Vali Loss: 4.781e-02, Train l2: 1.1223, Vali l2: 0.9927
Epoch: 28, time: 0.078, Train Loss: 6.116e-02,Vali Loss: 3.949e-02, Train l2: 1.0057, Vali l2: 0.8754
Epoch: 29, time: 0.080, Train Loss: 5.489e-02,Vali Loss: 4.226e-02, Train l2: 0.9457, Vali l2: 0.9562
Epoch: 30, time: 0.080, Train Loss: 5.568e-02,Vali Loss: 3.925e-02, Train l2: 0.9812, Vali l2: 0.8783
Epoch: 31, time: 0.080, Train Loss: 5.708e-02,Vali Loss: 4.363e-02, Train l2: 0.9830, Vali l2: 0.9331
Epoch: 32, time: 0.080, Train Loss: 5.739e-02,Vali Loss: 4.693e-02, Train l2: 1.0104, Vali l2: 0.9793
Epoch: 33, time: 0.080, Train Loss: 5.760e-02,Vali Loss: 4.104e-02, Train l2: 0.9489, Vali l2: 0.8674
Epoch: 34, time: 0.079, Train Loss: 5.923e-02,Vali Loss: 4.246e-02, Train l2: 1.0017, Vali l2: 0.8484
Epoch: 35, time: 0.079, Train Loss: 5.517e-02,Vali Loss: 3.824e-02, Train l2: 0.9488, Vali l2: 0.9376
Epoch: 36, time: 0.080, Train Loss: 6.032e-02,Vali Loss: 5.095e-02, Train l2: 1.0310, Vali l2: 0.9658
Epoch: 37, time: 0.079, Train Loss: 5.936e-02,Vali Loss: 3.965e-02, Train l2: 0.9817, Vali l2: 0.8305
Epoch: 38, time: 0.080, Train Loss: 5.532e-02,Vali Loss: 4.475e-02, Train l2: 0.9796, Vali l2: 0.9462
Epoch: 39, time: 0.078, Train Loss: 5.367e-02,Vali Loss: 3.570e-02, Train l2: 0.9532, Vali l2: 0.9350
Epoch: 40, time: 0.078, Train Loss: 6.818e-02,Vali Loss: 5.058e-02, Train l2: 1.2176, Vali l2: 1.0742
Epoch: 41, time: 0.080, Train Loss: 6.170e-02,Vali Loss: 5.362e-02, Train l2: 1.0098, Vali l2: 1.1163
Epoch: 42, time: 0.079, Train Loss: 6.335e-02,Vali Loss: 4.365e-02, Train l2: 1.0223, Vali l2: 1.0002
Epoch: 43, time: 0.082, Train Loss: 5.815e-02,Vali Loss: 4.387e-02, Train l2: 1.0122, Vali l2: 0.8721
Epoch: 44, time: 0.083, Train Loss: 5.695e-02,Vali Loss: 4.250e-02, Train l2: 0.9913, Vali l2: 0.9021
Epoch: 45, time: 0.080, Train Loss: 5.823e-02,Vali Loss: 5.273e-02, Train l2: 1.0288, Vali l2: 1.0381
Epoch: 46, time: 0.078, Train Loss: 6.513e-02,Vali Loss: 4.941e-02, Train l2: 1.0614, Vali l2: 1.0055
Epoch: 47, time: 0.082, Train Loss: 6.220e-02,Vali Loss: 4.101e-02, Train l2: 1.0160, Vali l2: 0.8603
Epoch: 48, time: 0.081, Train Loss: 6.394e-02,Vali Loss: 4.976e-02, Train l2: 1.0386, Vali l2: 1.0523
Epoch: 49, time: 0.080, Train Loss: 6.151e-02,Vali Loss: 4.637e-02, Train l2: 1.0049, Vali l2: 1.0206
Epoch: 50, time: 0.080, Train Loss: 6.197e-02,Vali Loss: 4.045e-02, Train l2: 1.0204, Vali l2: 0.9770
Epoch: 51, time: 0.081, Train Loss: 5.843e-02,Vali Loss: 4.552e-02, Train l2: 0.9642, Vali l2: 0.8929
Epoch: 52, time: 0.079, Train Loss: 6.187e-02,Vali Loss: 4.801e-02, Train l2: 0.9770, Vali l2: 0.9765
Epoch: 53, time: 0.081, Train Loss: 6.053e-02,Vali Loss: 4.417e-02, Train l2: 0.9966, Vali l2: 0.9721
Epoch: 54, time: 0.079, Train Loss: 5.963e-02,Vali Loss: 4.341e-02, Train l2: 0.9487, Vali l2: 0.8734
Epoch: 55, time: 0.080, Train Loss: 6.262e-02,Vali Loss: 4.440e-02, Train l2: 0.9831, Vali l2: 0.8761
Epoch: 56, time: 0.081, Train Loss: 6.229e-02,Vali Loss: 5.306e-02, Train l2: 1.0136, Vali l2: 1.0114
Epoch: 57, time: 0.081, Train Loss: 6.183e-02,Vali Loss: 5.090e-02, Train l2: 1.0209, Vali l2: 0.9362
Epoch: 58, time: 0.081, Train Loss: 6.041e-02,Vali Loss: 4.902e-02, Train l2: 0.9961, Vali l2: 1.0237
Epoch: 59, time: 0.082, Train Loss: 6.393e-02,Vali Loss: 4.329e-02, Train l2: 1.0129, Vali l2: 1.0408
