Epoch: 0, time: 0.561, Train Loss: 1.889e+01,Vali Loss: 1.378e+01, Train l2: 0.7967, Vali l2: 0.5125
Epoch: 1, time: 0.134, Train Loss: 2.016e+01,Vali Loss: 1.253e+01, Train l2: 0.7338, Vali l2: 0.5497
Epoch: 2, time: 0.136, Train Loss: 1.865e+01,Vali Loss: 1.323e+01, Train l2: 0.7391, Vali l2: 0.5170
Epoch: 3, time: 0.136, Train Loss: 1.943e+01,Vali Loss: 1.365e+01, Train l2: 0.7368, Vali l2: 0.5144
Epoch: 4, time: 0.137, Train Loss: 2.003e+01,Vali Loss: 1.292e+01, Train l2: 0.7356, Vali l2: 0.5230
Epoch: 5, time: 0.135, Train Loss: 1.951e+01,Vali Loss: 1.282e+01, Train l2: 0.7319, Vali l2: 0.5258
Epoch: 6, time: 0.136, Train Loss: 1.979e+01,Vali Loss: 1.294e+01, Train l2: 0.7310, Vali l2: 0.5192
Epoch: 7, time: 0.135, Train Loss: 1.929e+01,Vali Loss: 1.308e+01, Train l2: 0.7375, Vali l2: 0.5140
Epoch: 8, time: 0.132, Train Loss: 1.961e+01,Vali Loss: 1.326e+01, Train l2: 0.7340, Vali l2: 0.5163
Epoch: 9, time: 0.136, Train Loss: 1.909e+01,Vali Loss: 1.320e+01, Train l2: 0.7349, Vali l2: 0.5142
Epoch: 10, time: 0.136, Train Loss: 1.985e+01,Vali Loss: 1.275e+01, Train l2: 0.7350, Vali l2: 0.5292
Epoch: 11, time: 0.135, Train Loss: 1.984e+01,Vali Loss: 1.259e+01, Train l2: 0.7355, Vali l2: 0.5395
Epoch: 12, time: 0.138, Train Loss: 1.933e+01,Vali Loss: 1.318e+01, Train l2: 0.7310, Vali l2: 0.5125
Epoch: 13, time: 0.134, Train Loss: 1.967e+01,Vali Loss: 1.298e+01, Train l2: 0.7296, Vali l2: 0.5146
Epoch: 14, time: 0.135, Train Loss: 1.915e+01,Vali Loss: 1.240e+01, Train l2: 0.7247, Vali l2: 0.5161
Epoch: 15, time: 0.135, Train Loss: 1.782e+01,Vali Loss: 1.173e+01, Train l2: 0.7047, Vali l2: 0.5002
Epoch: 16, time: 0.136, Train Loss: 1.113e+01,Vali Loss: 5.212e+00, Train l2: 0.5866, Vali l2: 0.3603
Epoch: 17, time: 0.135, Train Loss: 7.887e+00,Vali Loss: 4.787e+00, Train l2: 0.4788, Vali l2: 0.3506
Epoch: 18, time: 0.135, Train Loss: 9.472e+00,Vali Loss: 4.501e+00, Train l2: 0.5296, Vali l2: 0.3373
Epoch: 19, time: 0.136, Train Loss: 7.660e+00,Vali Loss: 4.352e+00, Train l2: 0.4834, Vali l2: 0.3688
Epoch: 20, time: 0.136, Train Loss: 1.354e+01,Vali Loss: 3.928e+00, Train l2: 0.6276, Vali l2: 0.3436
Epoch: 21, time: 0.135, Train Loss: 6.245e+00,Vali Loss: 9.330e+00, Train l2: 0.4445, Vali l2: 0.4260
Epoch: 22, time: 0.132, Train Loss: 8.717e+00,Vali Loss: 6.072e+00, Train l2: 0.4966, Vali l2: 0.4294
Epoch: 23, time: 0.138, Train Loss: 6.746e+00,Vali Loss: 3.423e+00, Train l2: 0.4530, Vali l2: 0.3219
Epoch: 24, time: 0.136, Train Loss: 3.992e+00,Vali Loss: 2.789e+00, Train l2: 0.3671, Vali l2: 0.2852
Epoch: 25, time: 0.136, Train Loss: 4.276e+00,Vali Loss: 4.421e+00, Train l2: 0.3668, Vali l2: 0.3102
Epoch: 26, time: 0.136, Train Loss: 3.456e+00,Vali Loss: 2.791e+00, Train l2: 0.3357, Vali l2: 0.2648
Epoch: 27, time: 0.135, Train Loss: 4.112e+00,Vali Loss: 2.422e+00, Train l2: 0.3476, Vali l2: 0.2547
