Epoch: 0, time: 0.510, Train Loss: 4.907e+00,Vali Loss: 6.944e-01, Train l2: 0.6376, Vali l2: 0.2598
Epoch: 1, time: 0.093, Train Loss: 4.325e-01,Vali Loss: 1.511e-01, Train l2: 0.1919, Vali l2: 0.1190
Epoch: 2, time: 0.092, Train Loss: 1.364e-01,Vali Loss: 7.903e-02, Train l2: 0.1090, Vali l2: 0.0850
Epoch: 3, time: 0.090, Train Loss: 4.912e-02,Vali Loss: 4.101e-02, Train l2: 0.0663, Vali l2: 0.0631
Epoch: 4, time: 0.092, Train Loss: 2.399e-02,Vali Loss: 2.691e-02, Train l2: 0.0459, Vali l2: 0.0506
Epoch: 5, time: 0.089, Train Loss: 1.673e-02,Vali Loss: 2.283e-02, Train l2: 0.0376, Vali l2: 0.0464
Epoch: 6, time: 0.089, Train Loss: 1.282e-02,Vali Loss: 2.133e-02, Train l2: 0.0334, Vali l2: 0.0454
Epoch: 7, time: 0.089, Train Loss: 7.948e-03,Vali Loss: 1.673e-02, Train l2: 0.0255, Vali l2: 0.0402
Epoch: 8, time: 0.089, Train Loss: 8.934e-03,Vali Loss: 1.472e-02, Train l2: 0.0283, Vali l2: 0.0376
Epoch: 9, time: 0.089, Train Loss: 6.675e-03,Vali Loss: 1.372e-02, Train l2: 0.0244, Vali l2: 0.0363
Epoch: 10, time: 0.089, Train Loss: 6.030e-03,Vali Loss: 1.059e-02, Train l2: 0.0231, Vali l2: 0.0318
Epoch: 11, time: 0.089, Train Loss: 5.569e-03,Vali Loss: 1.239e-02, Train l2: 0.0223, Vali l2: 0.0347
Epoch: 12, time: 0.089, Train Loss: 4.891e-03,Vali Loss: 1.066e-02, Train l2: 0.0209, Vali l2: 0.0320
Epoch: 13, time: 0.089, Train Loss: 4.870e-03,Vali Loss: 8.608e-03, Train l2: 0.0207, Vali l2: 0.0288
Epoch: 14, time: 0.089, Train Loss: 4.106e-03,Vali Loss: 1.028e-02, Train l2: 0.0191, Vali l2: 0.0314
Epoch: 15, time: 0.089, Train Loss: 3.481e-03,Vali Loss: 1.011e-02, Train l2: 0.0176, Vali l2: 0.0313
Epoch: 16, time: 0.089, Train Loss: 3.992e-03,Vali Loss: 9.388e-03, Train l2: 0.0192, Vali l2: 0.0300
