Epoch: 0, time: 0.570, Train Loss: 1.963e+00,Vali Loss: 4.554e-01, Train l2: 0.3919, Vali l2: 0.2047
Epoch: 1, time: 0.056, Train Loss: 6.429e-01,Vali Loss: 3.519e-01, Train l2: 0.2460, Vali l2: 0.1789
Epoch: 2, time: 0.055, Train Loss: 4.488e-01,Vali Loss: 1.967e-01, Train l2: 0.2079, Vali l2: 0.1362
Epoch: 3, time: 0.055, Train Loss: 2.380e-01,Vali Loss: 1.588e-01, Train l2: 0.1530, Vali l2: 0.1208
Epoch: 4, time: 0.056, Train Loss: 1.707e-01,Vali Loss: 1.440e-01, Train l2: 0.1300, Vali l2: 0.1132
Epoch: 5, time: 0.055, Train Loss: 1.445e-01,Vali Loss: 1.318e-01, Train l2: 0.1190, Vali l2: 0.1082
Epoch: 6, time: 0.056, Train Loss: 1.310e-01,Vali Loss: 1.200e-01, Train l2: 0.1130, Vali l2: 0.1040
Epoch: 7, time: 0.055, Train Loss: 1.202e-01,Vali Loss: 1.146e-01, Train l2: 0.1082, Vali l2: 0.0997
Epoch: 8, time: 0.055, Train Loss: 1.487e-01,Vali Loss: 1.137e-01, Train l2: 0.1199, Vali l2: 0.1022
Epoch: 9, time: 0.055, Train Loss: 1.132e-01,Vali Loss: 8.443e-02, Train l2: 0.1053, Vali l2: 0.0888
Epoch: 10, time: 0.055, Train Loss: 8.888e-02,Vali Loss: 1.455e-01, Train l2: 0.0932, Vali l2: 0.1178
Epoch: 11, time: 0.055, Train Loss: 6.519e-02,Vali Loss: 7.495e-02, Train l2: 0.0796, Vali l2: 0.0842
Epoch: 12, time: 0.055, Train Loss: 4.981e-02,Vali Loss: 4.498e-02, Train l2: 0.0698, Vali l2: 0.0635
Epoch: 13, time: 0.055, Train Loss: 5.397e-02,Vali Loss: 4.282e-02, Train l2: 0.0722, Vali l2: 0.0626
Epoch: 14, time: 0.055, Train Loss: 3.864e-02,Vali Loss: 7.460e-02, Train l2: 0.0611, Vali l2: 0.0838
Epoch: 15, time: 0.055, Train Loss: 4.123e-02,Vali Loss: 6.679e-02, Train l2: 0.0627, Vali l2: 0.0793
Epoch: 16, time: 0.055, Train Loss: 3.974e-02,Vali Loss: 3.209e-02, Train l2: 0.0617, Vali l2: 0.0543
Epoch: 17, time: 0.055, Train Loss: 3.386e-02,Vali Loss: 2.710e-02, Train l2: 0.0569, Vali l2: 0.0492
Epoch: 18, time: 0.055, Train Loss: 2.790e-02,Vali Loss: 8.845e-02, Train l2: 0.0516, Vali l2: 0.0902
Epoch: 19, time: 0.055, Train Loss: 2.499e-02,Vali Loss: 2.048e-02, Train l2: 0.0480, Vali l2: 0.0429
Epoch: 20, time: 0.055, Train Loss: 2.348e-02,Vali Loss: 4.959e-02, Train l2: 0.0470, Vali l2: 0.0675
Epoch: 21, time: 0.055, Train Loss: 2.576e-02,Vali Loss: 4.809e-02, Train l2: 0.0489, Vali l2: 0.0661
