Epoch: 0, time: 0.454, Train Loss: 9.146e+00,Vali Loss: 9.125e-01, Train l2: 1.1313, Vali l2: 1.0199
Epoch: 1, time: 0.066, Train Loss: 9.245e+00,Vali Loss: 1.126e+00, Train l2: 1.0505, Vali l2: 0.9411
Epoch: 2, time: 0.065, Train Loss: 9.138e+00,Vali Loss: 1.148e+00, Train l2: 0.9461, Vali l2: 0.8760
Epoch: 3, time: 0.064, Train Loss: 9.164e+00,Vali Loss: 1.153e+00, Train l2: 0.8960, Vali l2: 0.8638
Epoch: 4, time: 0.064, Train Loss: 9.087e+00,Vali Loss: 8.137e-01, Train l2: 0.8327, Vali l2: 0.7619
Epoch: 5, time: 0.063, Train Loss: 9.055e+00,Vali Loss: 9.035e-01, Train l2: 0.7375, Vali l2: 0.7159
Epoch: 6, time: 0.063, Train Loss: 8.997e+00,Vali Loss: 9.906e-01, Train l2: 0.5738, Vali l2: 0.7010
Epoch: 7, time: 0.063, Train Loss: 8.928e+00,Vali Loss: 9.689e-01, Train l2: 0.5240, Vali l2: 0.7092
Epoch: 8, time: 0.063, Train Loss: 8.913e+00,Vali Loss: 1.004e+00, Train l2: 0.4635, Vali l2: 0.7221
Epoch: 9, time: 0.063, Train Loss: 8.905e+00,Vali Loss: 8.188e-01, Train l2: 0.4304, Vali l2: 0.5978
Epoch: 10, time: 0.063, Train Loss: 8.911e+00,Vali Loss: 1.155e+00, Train l2: 0.4068, Vali l2: 0.7059
Epoch: 11, time: 0.063, Train Loss: 8.846e+00,Vali Loss: 1.161e+00, Train l2: 0.4121, Vali l2: 0.7258
Epoch: 12, time: 0.063, Train Loss: 8.825e+00,Vali Loss: 9.460e-01, Train l2: 0.3729, Vali l2: 0.6690
Epoch: 13, time: 0.063, Train Loss: 8.781e+00,Vali Loss: 1.073e+00, Train l2: 0.3514, Vali l2: 0.7308
Epoch: 14, time: 0.063, Train Loss: 8.727e+00,Vali Loss: 1.110e+00, Train l2: 0.3538, Vali l2: 0.7254
Epoch: 15, time: 0.063, Train Loss: 8.701e+00,Vali Loss: 1.152e+00, Train l2: 0.3713, Vali l2: 0.7189
Epoch: 16, time: 0.063, Train Loss: 8.653e+00,Vali Loss: 1.120e+00, Train l2: 0.3311, Vali l2: 0.6885
Epoch: 17, time: 0.063, Train Loss: 8.606e+00,Vali Loss: 9.641e-01, Train l2: 0.2798, Vali l2: 0.6485
Epoch: 18, time: 0.063, Train Loss: 8.571e+00,Vali Loss: 1.189e+00, Train l2: 0.2692, Vali l2: 0.6990
Epoch: 19, time: 0.063, Train Loss: 8.559e+00,Vali Loss: 9.886e-01, Train l2: 0.2536, Vali l2: 0.6626
Epoch: 20, time: 0.072, Train Loss: 8.558e+00,Vali Loss: 9.894e-01, Train l2: 0.2560, Vali l2: 0.6788
Epoch: 21, time: 0.063, Train Loss: 8.551e+00,Vali Loss: 1.023e+00, Train l2: 0.2588, Vali l2: 0.6990
Epoch: 22, time: 0.063, Train Loss: 8.558e+00,Vali Loss: 9.634e-01, Train l2: 0.2687, Vali l2: 0.6500
Epoch: 23, time: 0.063, Train Loss: 8.558e+00,Vali Loss: 1.023e+00, Train l2: 0.2543, Vali l2: 0.6899
Epoch: 24, time: 0.063, Train Loss: 8.540e+00,Vali Loss: 8.929e-01, Train l2: 0.2447, Vali l2: 0.6475
Epoch: 25, time: 0.068, Train Loss: 8.539e+00,Vali Loss: 9.715e-01, Train l2: 0.2332, Vali l2: 0.6848
Epoch: 26, time: 0.063, Train Loss: 8.540e+00,Vali Loss: 1.351e+00, Train l2: 0.2206, Vali l2: 0.7449
Epoch: 27, time: 0.063, Train Loss: 8.556e+00,Vali Loss: 1.032e+00, Train l2: 0.2209, Vali l2: 0.6909
Epoch: 28, time: 0.063, Train Loss: 8.558e+00,Vali Loss: 8.538e-01, Train l2: 0.2217, Vali l2: 0.6379
Epoch: 29, time: 0.063, Train Loss: 8.548e+00,Vali Loss: 8.265e-01, Train l2: 0.2160, Vali l2: 0.6494
Epoch: 30, time: 0.063, Train Loss: 8.569e+00,Vali Loss: 1.348e+00, Train l2: 0.2078, Vali l2: 0.7176
Epoch: 31, time: 0.063, Train Loss: 8.587e+00,Vali Loss: 9.678e-01, Train l2: 0.1938, Vali l2: 0.6911
Epoch: 32, time: 0.063, Train Loss: 8.581e+00,Vali Loss: 1.081e+00, Train l2: 0.1841, Vali l2: 0.6831
Epoch: 33, time: 0.063, Train Loss: 8.589e+00,Vali Loss: 1.093e+00, Train l2: 0.2013, Vali l2: 0.6992
Epoch: 34, time: 0.063, Train Loss: 8.604e+00,Vali Loss: 1.018e+00, Train l2: 0.2176, Vali l2: 0.6888
Epoch: 35, time: 0.063, Train Loss: 8.589e+00,Vali Loss: 7.102e-01, Train l2: 0.1966, Vali l2: 0.6046
Epoch: 36, time: 0.063, Train Loss: 8.595e+00,Vali Loss: 9.187e-01, Train l2: 0.1974, Vali l2: 0.6715
Epoch: 37, time: 0.063, Train Loss: 8.605e+00,Vali Loss: 8.114e-01, Train l2: 0.1939, Vali l2: 0.6373
Epoch: 38, time: 0.067, Train Loss: 8.602e+00,Vali Loss: 8.859e-01, Train l2: 0.1876, Vali l2: 0.6424
Epoch: 39, time: 0.063, Train Loss: 8.607e+00,Vali Loss: 9.132e-01, Train l2: 0.1858, Vali l2: 0.6686
Epoch: 40, time: 0.063, Train Loss: 8.602e+00,Vali Loss: 9.955e-01, Train l2: 0.1822, Vali l2: 0.6765
Epoch: 41, time: 0.063, Train Loss: 8.610e+00,Vali Loss: 1.249e+00, Train l2: 0.2272, Vali l2: 0.7554
Epoch: 42, time: 0.063, Train Loss: 8.605e+00,Vali Loss: 1.287e+00, Train l2: 0.2456, Vali l2: 0.7317
Epoch: 43, time: 0.063, Train Loss: 8.576e+00,Vali Loss: 9.841e-01, Train l2: 0.2054, Vali l2: 0.6695
Epoch: 44, time: 0.063, Train Loss: 8.592e+00,Vali Loss: 8.686e-01, Train l2: 0.1777, Vali l2: 0.6338
Epoch: 45, time: 0.063, Train Loss: 8.600e+00,Vali Loss: 1.093e+00, Train l2: 0.1864, Vali l2: 0.7032
Epoch: 46, time: 0.063, Train Loss: 8.584e+00,Vali Loss: 8.600e-01, Train l2: 0.1803, Vali l2: 0.6325
Epoch: 47, time: 0.063, Train Loss: 8.582e+00,Vali Loss: 9.385e-01, Train l2: 0.1714, Vali l2: 0.6563
Epoch: 48, time: 0.063, Train Loss: 8.584e+00,Vali Loss: 8.287e-01, Train l2: 0.1641, Vali l2: 0.6233
Epoch: 49, time: 0.063, Train Loss: 8.565e+00,Vali Loss: 7.762e-01, Train l2: 0.1689, Vali l2: 0.6610
Epoch: 50, time: 0.063, Train Loss: 8.573e+00,Vali Loss: 9.871e-01, Train l2: 0.1830, Vali l2: 0.6662
Epoch: 51, time: 0.063, Train Loss: 8.573e+00,Vali Loss: 9.662e-01, Train l2: 0.1726, Vali l2: 0.6876
Epoch: 52, time: 0.063, Train Loss: 8.565e+00,Vali Loss: 1.067e+00, Train l2: 0.1884, Vali l2: 0.6836
Epoch: 53, time: 0.063, Train Loss: 8.548e+00,Vali Loss: 1.005e+00, Train l2: 0.1728, Vali l2: 0.6810
Epoch: 54, time: 0.063, Train Loss: 8.539e+00,Vali Loss: 8.368e-01, Train l2: 0.1712, Vali l2: 0.6611
Epoch: 55, time: 0.063, Train Loss: 8.546e+00,Vali Loss: 8.850e-01, Train l2: 0.1834, Vali l2: 0.6474
Epoch: 56, time: 0.063, Train Loss: 8.553e+00,Vali Loss: 9.250e-01, Train l2: 0.1787, Vali l2: 0.6223
Epoch: 57, time: 0.063, Train Loss: 8.542e+00,Vali Loss: 8.703e-01, Train l2: 0.1985, Vali l2: 0.6104
Epoch: 58, time: 0.071, Train Loss: 8.545e+00,Vali Loss: 9.237e-01, Train l2: 0.1771, Vali l2: 0.6495
Epoch: 59, time: 0.063, Train Loss: 8.554e+00,Vali Loss: 7.871e-01, Train l2: 0.1735, Vali l2: 0.6331
Epoch: 60, time: 0.063, Train Loss: 8.523e+00,Vali Loss: 9.747e-01, Train l2: 0.1737, Vali l2: 0.6641
Epoch: 61, time: 0.064, Train Loss: 8.525e+00,Vali Loss: 9.935e-01, Train l2: 0.1800, Vali l2: 0.6903
Epoch: 62, time: 0.063, Train Loss: 8.533e+00,Vali Loss: 7.805e-01, Train l2: 0.1689, Vali l2: 0.6236
Epoch: 63, time: 0.063, Train Loss: 8.539e+00,Vali Loss: 8.875e-01, Train l2: 0.1582, Vali l2: 0.6669
Epoch: 64, time: 0.063, Train Loss: 8.529e+00,Vali Loss: 1.114e+00, Train l2: 0.1566, Vali l2: 0.6764
Epoch: 65, time: 0.063, Train Loss: 8.519e+00,Vali Loss: 9.208e-01, Train l2: 0.1791, Vali l2: 0.6199
Epoch: 66, time: 0.063, Train Loss: 8.500e+00,Vali Loss: 8.267e-01, Train l2: 0.1792, Vali l2: 0.6285
Epoch: 67, time: 0.063, Train Loss: 8.512e+00,Vali Loss: 1.046e+00, Train l2: 0.1611, Vali l2: 0.6739
Epoch: 68, time: 0.063, Train Loss: 8.559e+00,Vali Loss: 9.365e-01, Train l2: 0.1703, Vali l2: 0.6800
Epoch: 69, time: 0.063, Train Loss: 8.533e+00,Vali Loss: 1.039e+00, Train l2: 0.1713, Vali l2: 0.6466
Epoch: 70, time: 0.063, Train Loss: 8.488e+00,Vali Loss: 1.239e+00, Train l2: 0.1730, Vali l2: 0.7223
Epoch: 71, time: 0.063, Train Loss: 8.507e+00,Vali Loss: 1.103e+00, Train l2: 0.1748, Vali l2: 0.6703
Epoch: 72, time: 0.063, Train Loss: 8.523e+00,Vali Loss: 9.714e-01, Train l2: 0.1566, Vali l2: 0.6525
Epoch: 73, time: 0.063, Train Loss: 8.527e+00,Vali Loss: 1.077e+00, Train l2: 0.1471, Vali l2: 0.7000
Epoch: 74, time: 0.063, Train Loss: 8.516e+00,Vali Loss: 9.391e-01, Train l2: 0.1497, Vali l2: 0.6489
Epoch: 75, time: 0.063, Train Loss: 8.511e+00,Vali Loss: 1.055e+00, Train l2: 0.1478, Vali l2: 0.6745
Epoch: 76, time: 0.063, Train Loss: 8.501e+00,Vali Loss: 9.831e-01, Train l2: 0.1428, Vali l2: 0.6189
Epoch: 77, time: 0.063, Train Loss: 8.489e+00,Vali Loss: 1.037e+00, Train l2: 0.1466, Vali l2: 0.6708
Epoch: 78, time: 0.063, Train Loss: 8.485e+00,Vali Loss: 8.206e-01, Train l2: 0.1507, Vali l2: 0.6141
Epoch: 79, time: 0.063, Train Loss: 8.481e+00,Vali Loss: 9.242e-01, Train l2: 0.1430, Vali l2: 0.6612
Epoch: 80, time: 0.063, Train Loss: 8.482e+00,Vali Loss: 9.214e-01, Train l2: 0.1458, Vali l2: 0.6530
Epoch: 81, time: 0.063, Train Loss: 8.482e+00,Vali Loss: 9.799e-01, Train l2: 0.1571, Vali l2: 0.6515
Epoch: 82, time: 0.063, Train Loss: 8.469e+00,Vali Loss: 9.308e-01, Train l2: 0.1453, Vali l2: 0.6399
Epoch: 83, time: 0.063, Train Loss: 8.481e+00,Vali Loss: 7.880e-01, Train l2: 0.1532, Vali l2: 0.6117
Epoch: 84, time: 0.063, Train Loss: 8.465e+00,Vali Loss: 8.360e-01, Train l2: 0.1611, Vali l2: 0.6374
Epoch: 85, time: 0.063, Train Loss: 8.452e+00,Vali Loss: 1.352e+00, Train l2: 0.1772, Vali l2: 0.7386
Epoch: 86, time: 0.063, Train Loss: 8.495e+00,Vali Loss: 1.010e+00, Train l2: 0.1680, Vali l2: 0.6790
Epoch: 87, time: 0.063, Train Loss: 8.466e+00,Vali Loss: 1.238e+00, Train l2: 0.1644, Vali l2: 0.7119
Epoch: 88, time: 0.063, Train Loss: 8.465e+00,Vali Loss: 9.749e-01, Train l2: 0.1551, Vali l2: 0.6401
Epoch: 89, time: 0.063, Train Loss: 8.463e+00,Vali Loss: 1.080e+00, Train l2: 0.1540, Vali l2: 0.6951
Epoch: 90, time: 0.063, Train Loss: 8.456e+00,Vali Loss: 1.308e+00, Train l2: 0.1502, Vali l2: 0.6982
Epoch: 91, time: 0.063, Train Loss: 8.457e+00,Vali Loss: 9.588e-01, Train l2: 0.1530, Vali l2: 0.6526
Epoch: 92, time: 0.063, Train Loss: 8.465e+00,Vali Loss: 1.054e+00, Train l2: 0.1695, Vali l2: 0.6758
