Epoch: 0, time: 0.490, Train Loss: 9.141e+00,Vali Loss: 9.774e-01, Train l2: 1.0473, Vali l2: 1.0004
Epoch: 1, time: 0.101, Train Loss: 9.117e+00,Vali Loss: 1.167e+00, Train l2: 0.9886, Vali l2: 0.9501
Epoch: 2, time: 0.098, Train Loss: 9.205e+00,Vali Loss: 8.550e-01, Train l2: 1.0012, Vali l2: 0.8072
Epoch: 3, time: 0.098, Train Loss: 9.045e+00,Vali Loss: 1.004e+00, Train l2: 0.8521, Vali l2: 0.7692
Epoch: 4, time: 0.099, Train Loss: 8.949e+00,Vali Loss: 1.044e+00, Train l2: 0.7448, Vali l2: 0.7420
Epoch: 5, time: 0.098, Train Loss: 8.962e+00,Vali Loss: 9.303e-01, Train l2: 0.6025, Vali l2: 0.6119
Epoch: 6, time: 0.098, Train Loss: 8.892e+00,Vali Loss: 8.398e-01, Train l2: 0.4942, Vali l2: 0.6599
Epoch: 7, time: 0.098, Train Loss: 8.885e+00,Vali Loss: 9.769e-01, Train l2: 0.4837, Vali l2: 0.6585
Epoch: 8, time: 0.098, Train Loss: 8.874e+00,Vali Loss: 8.104e-01, Train l2: 0.4389, Vali l2: 0.6221
Epoch: 9, time: 0.098, Train Loss: 8.858e+00,Vali Loss: 1.158e+00, Train l2: 0.4089, Vali l2: 0.6570
Epoch: 10, time: 0.098, Train Loss: 8.847e+00,Vali Loss: 7.281e-01, Train l2: 0.4004, Vali l2: 0.5637
Epoch: 11, time: 0.098, Train Loss: 8.803e+00,Vali Loss: 1.006e+00, Train l2: 0.3645, Vali l2: 0.6723
Epoch: 12, time: 0.098, Train Loss: 8.795e+00,Vali Loss: 1.029e+00, Train l2: 0.3369, Vali l2: 0.6429
Epoch: 13, time: 0.098, Train Loss: 8.776e+00,Vali Loss: 1.084e+00, Train l2: 0.3501, Vali l2: 0.6958
Epoch: 14, time: 0.098, Train Loss: 8.750e+00,Vali Loss: 1.255e+00, Train l2: 0.3582, Vali l2: 0.7543
Epoch: 15, time: 0.098, Train Loss: 8.744e+00,Vali Loss: 8.880e-01, Train l2: 0.4172, Vali l2: 0.6263
Epoch: 16, time: 0.098, Train Loss: 8.674e+00,Vali Loss: 1.008e+00, Train l2: 0.3490, Vali l2: 0.6478
Epoch: 17, time: 0.099, Train Loss: 8.692e+00,Vali Loss: 9.392e-01, Train l2: 0.2986, Vali l2: 0.6306
Epoch: 18, time: 0.098, Train Loss: 8.664e+00,Vali Loss: 9.066e-01, Train l2: 0.2693, Vali l2: 0.6455
Epoch: 19, time: 0.098, Train Loss: 8.658e+00,Vali Loss: 1.244e+00, Train l2: 0.2754, Vali l2: 0.6988
Epoch: 20, time: 0.098, Train Loss: 8.629e+00,Vali Loss: 7.086e-01, Train l2: 0.2764, Vali l2: 0.5863
Epoch: 21, time: 0.102, Train Loss: 8.613e+00,Vali Loss: 1.222e+00, Train l2: 0.2531, Vali l2: 0.6508
Epoch: 22, time: 0.098, Train Loss: 8.593e+00,Vali Loss: 9.615e-01, Train l2: 0.2356, Vali l2: 0.5964
Epoch: 23, time: 0.098, Train Loss: 8.603e+00,Vali Loss: 1.075e+00, Train l2: 0.2296, Vali l2: 0.6238
Epoch: 24, time: 0.098, Train Loss: 8.622e+00,Vali Loss: 1.041e+00, Train l2: 0.2225, Vali l2: 0.6175
Epoch: 25, time: 0.098, Train Loss: 8.608e+00,Vali Loss: 9.409e-01, Train l2: 0.2031, Vali l2: 0.5969
Epoch: 26, time: 0.098, Train Loss: 8.605e+00,Vali Loss: 8.949e-01, Train l2: 0.1981, Vali l2: 0.5891
Epoch: 27, time: 0.098, Train Loss: 8.610e+00,Vali Loss: 1.267e+00, Train l2: 0.1977, Vali l2: 0.6779
Epoch: 28, time: 0.098, Train Loss: 8.590e+00,Vali Loss: 9.173e-01, Train l2: 0.1928, Vali l2: 0.5498
Epoch: 29, time: 0.098, Train Loss: 8.587e+00,Vali Loss: 8.322e-01, Train l2: 0.1982, Vali l2: 0.6134
Epoch: 30, time: 0.098, Train Loss: 8.574e+00,Vali Loss: 9.215e-01, Train l2: 0.1805, Vali l2: 0.5788
Epoch: 31, time: 0.098, Train Loss: 8.574e+00,Vali Loss: 8.429e-01, Train l2: 0.1682, Vali l2: 0.5892
Epoch: 32, time: 0.098, Train Loss: 8.580e+00,Vali Loss: 9.099e-01, Train l2: 0.1720, Vali l2: 0.5863
Epoch: 33, time: 0.098, Train Loss: 8.558e+00,Vali Loss: 1.115e+00, Train l2: 0.2099, Vali l2: 0.6585
Epoch: 34, time: 0.098, Train Loss: 8.548e+00,Vali Loss: 1.000e+00, Train l2: 0.1969, Vali l2: 0.6408
Epoch: 35, time: 0.098, Train Loss: 8.533e+00,Vali Loss: 9.365e-01, Train l2: 0.1956, Vali l2: 0.6205
Epoch: 36, time: 0.098, Train Loss: 8.531e+00,Vali Loss: 8.037e-01, Train l2: 0.1864, Vali l2: 0.6019
Epoch: 37, time: 0.098, Train Loss: 8.528e+00,Vali Loss: 1.117e+00, Train l2: 0.1929, Vali l2: 0.6635
Epoch: 38, time: 0.098, Train Loss: 8.530e+00,Vali Loss: 9.252e-01, Train l2: 0.2203, Vali l2: 0.6479
Epoch: 39, time: 0.098, Train Loss: 8.521e+00,Vali Loss: 1.009e+00, Train l2: 0.2116, Vali l2: 0.6687
Epoch: 40, time: 0.098, Train Loss: 8.530e+00,Vali Loss: 9.902e-01, Train l2: 0.1885, Vali l2: 0.6307
Epoch: 41, time: 0.098, Train Loss: 8.491e+00,Vali Loss: 9.295e-01, Train l2: 0.2274, Vali l2: 0.6186
Epoch: 42, time: 0.098, Train Loss: 8.524e+00,Vali Loss: 1.060e+00, Train l2: 0.2125, Vali l2: 0.6375
Epoch: 43, time: 0.098, Train Loss: 8.518e+00,Vali Loss: 8.908e-01, Train l2: 0.1922, Vali l2: 0.6234
Epoch: 44, time: 0.098, Train Loss: 8.489e+00,Vali Loss: 8.151e-01, Train l2: 0.1693, Vali l2: 0.5886
Epoch: 45, time: 0.098, Train Loss: 8.465e+00,Vali Loss: 1.135e+00, Train l2: 0.1702, Vali l2: 0.6520
Epoch: 46, time: 0.098, Train Loss: 8.489e+00,Vali Loss: 9.500e-01, Train l2: 0.1592, Vali l2: 0.6280
Epoch: 47, time: 0.098, Train Loss: 8.485e+00,Vali Loss: 1.251e+00, Train l2: 0.1623, Vali l2: 0.6458
Epoch: 48, time: 0.098, Train Loss: 8.447e+00,Vali Loss: 1.244e+00, Train l2: 0.1712, Vali l2: 0.6566
Epoch: 49, time: 0.098, Train Loss: 8.455e+00,Vali Loss: 9.286e-01, Train l2: 0.1643, Vali l2: 0.6029
Epoch: 50, time: 0.098, Train Loss: 8.437e+00,Vali Loss: 9.784e-01, Train l2: 0.1749, Vali l2: 0.6029
Epoch: 51, time: 0.098, Train Loss: 8.426e+00,Vali Loss: 1.071e+00, Train l2: 0.2051, Vali l2: 0.6280
Epoch: 52, time: 0.098, Train Loss: 8.448e+00,Vali Loss: 1.159e+00, Train l2: 0.1734, Vali l2: 0.6752
Epoch: 53, time: 0.098, Train Loss: 8.422e+00,Vali Loss: 9.071e-01, Train l2: 0.1834, Vali l2: 0.5917
Epoch: 54, time: 0.098, Train Loss: 8.420e+00,Vali Loss: 1.020e+00, Train l2: 0.1655, Vali l2: 0.6316
Epoch: 55, time: 0.098, Train Loss: 8.412e+00,Vali Loss: 1.026e+00, Train l2: 0.1507, Vali l2: 0.6185
Epoch: 56, time: 0.098, Train Loss: 8.399e+00,Vali Loss: 1.033e+00, Train l2: 0.1569, Vali l2: 0.6131
Epoch: 57, time: 0.098, Train Loss: 8.414e+00,Vali Loss: 1.065e+00, Train l2: 0.1578, Vali l2: 0.6235
Epoch: 58, time: 0.098, Train Loss: 8.408e+00,Vali Loss: 1.036e+00, Train l2: 0.1679, Vali l2: 0.6734
Epoch: 59, time: 0.098, Train Loss: 8.371e+00,Vali Loss: 1.005e+00, Train l2: 0.2041, Vali l2: 0.6460
Epoch: 60, time: 0.099, Train Loss: 8.364e+00,Vali Loss: 1.138e+00, Train l2: 0.2094, Vali l2: 0.6953
Epoch: 61, time: 0.099, Train Loss: 8.377e+00,Vali Loss: 1.090e+00, Train l2: 0.1874, Vali l2: 0.6415
Epoch: 62, time: 0.098, Train Loss: 8.365e+00,Vali Loss: 9.319e-01, Train l2: 0.1660, Vali l2: 0.5830
Epoch: 63, time: 0.098, Train Loss: 8.358e+00,Vali Loss: 8.670e-01, Train l2: 0.1592, Vali l2: 0.5459
Epoch: 64, time: 0.098, Train Loss: 8.323e+00,Vali Loss: 1.077e+00, Train l2: 0.1696, Vali l2: 0.6474
Epoch: 65, time: 0.098, Train Loss: 8.350e+00,Vali Loss: 1.087e+00, Train l2: 0.1589, Vali l2: 0.6556
Epoch: 66, time: 0.098, Train Loss: 8.337e+00,Vali Loss: 9.428e-01, Train l2: 0.1690, Vali l2: 0.5916
Epoch: 67, time: 0.098, Train Loss: 8.318e+00,Vali Loss: 1.044e+00, Train l2: 0.1582, Vali l2: 0.6003
Epoch: 68, time: 0.098, Train Loss: 8.328e+00,Vali Loss: 9.707e-01, Train l2: 0.1559, Vali l2: 0.6058
Epoch: 69, time: 0.098, Train Loss: 8.315e+00,Vali Loss: 1.127e+00, Train l2: 0.1519, Vali l2: 0.6634
Epoch: 70, time: 0.098, Train Loss: 8.307e+00,Vali Loss: 9.371e-01, Train l2: 0.1531, Vali l2: 0.6096
Epoch: 71, time: 0.098, Train Loss: 8.314e+00,Vali Loss: 8.206e-01, Train l2: 0.1740, Vali l2: 0.5718
Epoch: 72, time: 0.098, Train Loss: 8.290e+00,Vali Loss: 8.957e-01, Train l2: 0.1672, Vali l2: 0.5903
Epoch: 73, time: 0.098, Train Loss: 8.266e+00,Vali Loss: 8.443e-01, Train l2: 0.1767, Vali l2: 0.5812
Epoch: 74, time: 0.098, Train Loss: 8.285e+00,Vali Loss: 8.344e-01, Train l2: 0.1614, Vali l2: 0.5873
Epoch: 75, time: 0.098, Train Loss: 8.273e+00,Vali Loss: 1.251e+00, Train l2: 0.1487, Vali l2: 0.6505
Epoch: 76, time: 0.098, Train Loss: 8.258e+00,Vali Loss: 8.766e-01, Train l2: 0.1483, Vali l2: 0.5994
Epoch: 77, time: 0.098, Train Loss: 8.262e+00,Vali Loss: 9.598e-01, Train l2: 0.1362, Vali l2: 0.6197
Epoch: 78, time: 0.098, Train Loss: 8.250e+00,Vali Loss: 1.075e+00, Train l2: 0.1406, Vali l2: 0.6471
Epoch: 79, time: 0.098, Train Loss: 8.245e+00,Vali Loss: 7.885e-01, Train l2: 0.1391, Vali l2: 0.5727
Epoch: 80, time: 0.098, Train Loss: 8.233e+00,Vali Loss: 9.218e-01, Train l2: 0.1402, Vali l2: 0.5900
Epoch: 81, time: 0.098, Train Loss: 8.235e+00,Vali Loss: 1.159e+00, Train l2: 0.1520, Vali l2: 0.6570
Epoch: 82, time: 0.104, Train Loss: 8.239e+00,Vali Loss: 1.144e+00, Train l2: 0.1525, Vali l2: 0.6321
Epoch: 83, time: 0.098, Train Loss: 8.219e+00,Vali Loss: 1.127e+00, Train l2: 0.1463, Vali l2: 0.6391
Epoch: 84, time: 0.098, Train Loss: 8.199e+00,Vali Loss: 9.693e-01, Train l2: 0.1438, Vali l2: 0.6199
Epoch: 85, time: 0.098, Train Loss: 8.206e+00,Vali Loss: 1.015e+00, Train l2: 0.1432, Vali l2: 0.6148
Epoch: 86, time: 0.098, Train Loss: 8.210e+00,Vali Loss: 1.108e+00, Train l2: 0.1418, Vali l2: 0.6444
Epoch: 87, time: 0.098, Train Loss: 8.204e+00,Vali Loss: 1.126e+00, Train l2: 0.1506, Vali l2: 0.6440
Epoch: 88, time: 0.098, Train Loss: 8.222e+00,Vali Loss: 1.180e+00, Train l2: 0.1744, Vali l2: 0.6282
Epoch: 89, time: 0.098, Train Loss: 8.209e+00,Vali Loss: 1.238e+00, Train l2: 0.1542, Vali l2: 0.6773
Epoch: 90, time: 0.098, Train Loss: 8.199e+00,Vali Loss: 9.698e-01, Train l2: 0.1640, Vali l2: 0.6164
Epoch: 91, time: 0.098, Train Loss: 8.195e+00,Vali Loss: 1.099e+00, Train l2: 0.1679, Vali l2: 0.6551
Epoch: 92, time: 0.098, Train Loss: 8.194e+00,Vali Loss: 1.005e+00, Train l2: 0.1760, Vali l2: 0.6333
