Epoch: 0, time: 0.932, Train Loss: 3.237e-02,Vali Loss: 1.318e-02, Train l2: 0.7532, Vali l2: 0.4825
Epoch: 1, time: 0.518, Train Loss: 1.133e-02,Vali Loss: 8.759e-03, Train l2: 0.4453, Vali l2: 0.4056
Epoch: 2, time: 0.522, Train Loss: 8.167e-03,Vali Loss: 6.557e-03, Train l2: 0.3752, Vali l2: 0.3428
Epoch: 3, time: 0.517, Train Loss: 5.707e-03,Vali Loss: 4.754e-03, Train l2: 0.3114, Vali l2: 0.2838
Epoch: 4, time: 0.517, Train Loss: 3.938e-03,Vali Loss: 3.423e-03, Train l2: 0.2538, Vali l2: 0.2374
Epoch: 5, time: 0.517, Train Loss: 3.133e-03,Vali Loss: 2.884e-03, Train l2: 0.2240, Vali l2: 0.2186
Epoch: 6, time: 0.516, Train Loss: 2.618e-03,Vali Loss: 2.450e-03, Train l2: 0.2011, Vali l2: 0.1952
Epoch: 7, time: 0.518, Train Loss: 2.262e-03,Vali Loss: 2.285e-03, Train l2: 0.1859, Vali l2: 0.1875
Epoch: 8, time: 0.518, Train Loss: 1.996e-03,Vali Loss: 2.016e-03, Train l2: 0.1742, Vali l2: 0.1779
Epoch: 9, time: 0.516, Train Loss: 1.764e-03,Vali Loss: 1.694e-03, Train l2: 0.1635, Vali l2: 0.1599
Epoch: 10, time: 0.517, Train Loss: 1.598e-03,Vali Loss: 1.555e-03, Train l2: 0.1555, Vali l2: 0.1528
Epoch: 11, time: 0.517, Train Loss: 1.417e-03,Vali Loss: 1.457e-03, Train l2: 0.1462, Vali l2: 0.1481
Epoch: 12, time: 0.517, Train Loss: 1.360e-03,Vali Loss: 1.294e-03, Train l2: 0.1429, Vali l2: 0.1394
Epoch: 13, time: 0.517, Train Loss: 1.236e-03,Vali Loss: 1.240e-03, Train l2: 0.1363, Vali l2: 0.1358
Epoch: 14, time: 0.517, Train Loss: 1.156e-03,Vali Loss: 1.205e-03, Train l2: 0.1309, Vali l2: 0.1319
Epoch: 15, time: 0.519, Train Loss: 1.087e-03,Vali Loss: 1.141e-03, Train l2: 0.1271, Vali l2: 0.1288
Epoch: 16, time: 0.517, Train Loss: 1.039e-03,Vali Loss: 1.038e-03, Train l2: 0.1236, Vali l2: 0.1245
Epoch: 17, time: 0.518, Train Loss: 9.614e-04,Vali Loss: 9.485e-04, Train l2: 0.1185, Vali l2: 0.1174
