Epoch: 0, time: 1.385, Train Loss: 3.355e-02,Vali Loss: 1.673e-02, Train l2: 0.7967, Vali l2: 0.5947
Epoch: 1, time: 0.948, Train Loss: 1.218e-02,Vali Loss: 8.680e-03, Train l2: 0.4990, Vali l2: 0.4167
Epoch: 2, time: 0.967, Train Loss: 7.628e-03,Vali Loss: 6.598e-03, Train l2: 0.3840, Vali l2: 0.3474
Epoch: 3, time: 1.014, Train Loss: 5.930e-03,Vali Loss: 5.382e-03, Train l2: 0.3300, Vali l2: 0.3099
Epoch: 4, time: 0.996, Train Loss: 4.953e-03,Vali Loss: 5.131e-03, Train l2: 0.2965, Vali l2: 0.2922
Epoch: 5, time: 0.940, Train Loss: 4.307e-03,Vali Loss: 4.276e-03, Train l2: 0.2712, Vali l2: 0.2728
Epoch: 6, time: 0.982, Train Loss: 3.828e-03,Vali Loss: 3.950e-03, Train l2: 0.2533, Vali l2: 0.2514
Epoch: 7, time: 0.943, Train Loss: 3.428e-03,Vali Loss: 3.576e-03, Train l2: 0.2376, Vali l2: 0.2381
Epoch: 8, time: 1.224, Train Loss: 3.036e-03,Vali Loss: 3.332e-03, Train l2: 0.2221, Vali l2: 0.2308
Epoch: 9, time: 1.006, Train Loss: 2.773e-03,Vali Loss: 2.901e-03, Train l2: 0.2138, Vali l2: 0.2149
Epoch: 10, time: 0.943, Train Loss: 2.477e-03,Vali Loss: 2.630e-03, Train l2: 0.2016, Vali l2: 0.2061
Epoch: 11, time: 0.975, Train Loss: 2.321e-03,Vali Loss: 2.331e-03, Train l2: 0.1967, Vali l2: 0.1936
Epoch: 12, time: 0.952, Train Loss: 2.074e-03,Vali Loss: 2.243e-03, Train l2: 0.1850, Vali l2: 0.1931
Epoch: 13, time: 1.023, Train Loss: 1.937e-03,Vali Loss: 2.161e-03, Train l2: 0.1802, Vali l2: 0.1860
Epoch: 14, time: 0.944, Train Loss: 1.780e-03,Vali Loss: 1.899e-03, Train l2: 0.1726, Vali l2: 0.1743
Epoch: 15, time: 1.060, Train Loss: 1.759e-03,Vali Loss: 1.721e-03, Train l2: 0.1701, Vali l2: 0.1695
Epoch: 16, time: 0.947, Train Loss: 1.598e-03,Vali Loss: 1.749e-03, Train l2: 0.1654, Vali l2: 0.1662
Epoch: 17, time: 1.081, Train Loss: 1.484e-03,Vali Loss: 1.517e-03, Train l2: 0.1582, Vali l2: 0.1588
Epoch: 18, time: 0.944, Train Loss: 1.339e-03,Vali Loss: 1.451e-03, Train l2: 0.1501, Vali l2: 0.1593
Epoch: 19, time: 0.947, Train Loss: 1.349e-03,Vali Loss: 1.281e-03, Train l2: 0.1528, Vali l2: 0.1499
Epoch: 20, time: 1.246, Train Loss: 1.327e-03,Vali Loss: 1.320e-03, Train l2: 0.1506, Vali l2: 0.1470
Epoch: 21, time: 1.032, Train Loss: 1.191e-03,Vali Loss: 1.402e-03, Train l2: 0.1431, Vali l2: 0.1533
Epoch: 22, time: 1.046, Train Loss: 1.152e-03,Vali Loss: 1.244e-03, Train l2: 0.1397, Vali l2: 0.1447
Epoch: 23, time: 1.007, Train Loss: 1.094e-03,Vali Loss: 1.099e-03, Train l2: 0.1372, Vali l2: 0.1355
Epoch: 24, time: 0.944, Train Loss: 9.949e-04,Vali Loss: 1.183e-03, Train l2: 0.1305, Vali l2: 0.1429
Epoch: 25, time: 0.945, Train Loss: 1.003e-03,Vali Loss: 1.158e-03, Train l2: 0.1324, Vali l2: 0.1422
Epoch: 26, time: 0.942, Train Loss: 1.022e-03,Vali Loss: 9.671e-04, Train l2: 0.1339, Vali l2: 0.1292
Epoch: 27, time: 1.036, Train Loss: 9.252e-04,Vali Loss: 9.605e-04, Train l2: 0.1259, Vali l2: 0.1308
Epoch: 28, time: 0.943, Train Loss: 8.490e-04,Vali Loss: 9.627e-04, Train l2: 0.1196, Vali l2: 0.1240
Epoch: 29, time: 0.961, Train Loss: 8.885e-04,Vali Loss: 8.896e-04, Train l2: 0.1240, Vali l2: 0.1215
Epoch: 30, time: 1.041, Train Loss: 7.957e-04,Vali Loss: 8.725e-04, Train l2: 0.1180, Vali l2: 0.1214
Epoch: 31, time: 1.118, Train Loss: 7.821e-04,Vali Loss: 8.458e-04, Train l2: 0.1142, Vali l2: 0.1168
Epoch: 32, time: 1.119, Train Loss: 7.428e-04,Vali Loss: 7.658e-04, Train l2: 0.1143, Vali l2: 0.1135
Epoch: 33, time: 1.090, Train Loss: 7.198e-04,Vali Loss: 7.441e-04, Train l2: 0.1117, Vali l2: 0.1153
Epoch: 34, time: 0.955, Train Loss: 7.181e-04,Vali Loss: 7.457e-04, Train l2: 0.1127, Vali l2: 0.1087
Epoch: 35, time: 1.174, Train Loss: 6.279e-04,Vali Loss: 7.876e-04, Train l2: 0.1045, Vali l2: 0.1120
Epoch: 36, time: 0.950, Train Loss: 7.030e-04,Vali Loss: 6.593e-04, Train l2: 0.1115, Vali l2: 0.1070
Epoch: 37, time: 0.959, Train Loss: 6.245e-04,Vali Loss: 7.843e-04, Train l2: 0.1028, Vali l2: 0.1140
Epoch: 38, time: 0.945, Train Loss: 6.202e-04,Vali Loss: 6.939e-04, Train l2: 0.1034, Vali l2: 0.1050
Epoch: 39, time: 0.946, Train Loss: 5.640e-04,Vali Loss: 6.281e-04, Train l2: 0.0995, Vali l2: 0.1035
Epoch: 40, time: 0.956, Train Loss: 5.639e-04,Vali Loss: 5.549e-04, Train l2: 0.0985, Vali l2: 0.0950
Epoch: 41, time: 0.949, Train Loss: 5.519e-04,Vali Loss: 7.630e-04, Train l2: 0.0979, Vali l2: 0.1114
Epoch: 42, time: 0.945, Train Loss: 5.525e-04,Vali Loss: 6.079e-04, Train l2: 0.0987, Vali l2: 0.1027
Epoch: 43, time: 0.949, Train Loss: 5.445e-04,Vali Loss: 5.576e-04, Train l2: 0.0965, Vali l2: 0.0957
Epoch: 44, time: 1.152, Train Loss: 5.358e-04,Vali Loss: 6.524e-04, Train l2: 0.0965, Vali l2: 0.1036
Epoch: 45, time: 1.209, Train Loss: 5.257e-04,Vali Loss: 5.378e-04, Train l2: 0.0958, Vali l2: 0.0976
Epoch: 46, time: 0.947, Train Loss: 4.557e-04,Vali Loss: 5.192e-04, Train l2: 0.0886, Vali l2: 0.0905
Epoch: 47, time: 0.949, Train Loss: 4.784e-04,Vali Loss: 5.291e-04, Train l2: 0.0905, Vali l2: 0.0948
Epoch: 48, time: 2.006, Train Loss: 5.017e-04,Vali Loss: 7.288e-04, Train l2: 0.0931, Vali l2: 0.1078
Epoch: 49, time: 0.944, Train Loss: 4.662e-04,Vali Loss: 5.096e-04, Train l2: 0.0916, Vali l2: 0.0959
Epoch: 50, time: 0.943, Train Loss: 4.605e-04,Vali Loss: 6.403e-04, Train l2: 0.0886, Vali l2: 0.1064
Epoch: 51, time: 0.944, Train Loss: 4.637e-04,Vali Loss: 4.784e-04, Train l2: 0.0906, Vali l2: 0.0940
Epoch: 52, time: 0.948, Train Loss: 4.446e-04,Vali Loss: 4.514e-04, Train l2: 0.0899, Vali l2: 0.0852
Epoch: 53, time: 0.953, Train Loss: 4.005e-04,Vali Loss: 5.759e-04, Train l2: 0.0830, Vali l2: 0.0939
Epoch: 54, time: 0.958, Train Loss: 4.528e-04,Vali Loss: 7.042e-04, Train l2: 0.0884, Vali l2: 0.1108
Epoch: 55, time: 1.049, Train Loss: 6.023e-04,Vali Loss: 4.621e-04, Train l2: 0.1033, Vali l2: 0.0899
Epoch: 56, time: 0.942, Train Loss: 4.416e-04,Vali Loss: 4.944e-04, Train l2: 0.0872, Vali l2: 0.0935
Epoch: 57, time: 0.957, Train Loss: 4.121e-04,Vali Loss: 4.772e-04, Train l2: 0.0860, Vali l2: 0.0899
Epoch: 58, time: 1.045, Train Loss: 3.671e-04,Vali Loss: 4.066e-04, Train l2: 0.0805, Vali l2: 0.0816
Epoch: 59, time: 1.310, Train Loss: 3.845e-04,Vali Loss: 5.150e-04, Train l2: 0.0793, Vali l2: 0.0892
Epoch: 60, time: 2.746, Train Loss: 4.162e-04,Vali Loss: 4.697e-04, Train l2: 0.0841, Vali l2: 0.0906
Epoch: 61, time: 1.499, Train Loss: 3.891e-04,Vali Loss: 5.723e-04, Train l2: 0.0827, Vali l2: 0.0954
Epoch: 62, time: 2.614, Train Loss: 3.840e-04,Vali Loss: 4.690e-04, Train l2: 0.0812, Vali l2: 0.0879
Epoch: 63, time: 1.672, Train Loss: 3.910e-04,Vali Loss: 5.910e-04, Train l2: 0.0831, Vali l2: 0.0935
Epoch: 64, time: 2.442, Train Loss: 3.451e-04,Vali Loss: 3.982e-04, Train l2: 0.0782, Vali l2: 0.0848
Epoch: 65, time: 1.790, Train Loss: 3.378e-04,Vali Loss: 3.774e-04, Train l2: 0.0764, Vali l2: 0.0804
Epoch: 66, time: 1.215, Train Loss: 3.399e-04,Vali Loss: 3.568e-04, Train l2: 0.0777, Vali l2: 0.0758
Epoch: 67, time: 0.993, Train Loss: 3.369e-04,Vali Loss: 3.356e-04, Train l2: 0.0761, Vali l2: 0.0729
Epoch: 68, time: 0.947, Train Loss: 3.285e-04,Vali Loss: 3.571e-04, Train l2: 0.0752, Vali l2: 0.0771
Epoch: 69, time: 0.941, Train Loss: 3.514e-04,Vali Loss: 4.063e-04, Train l2: 0.0780, Vali l2: 0.0819
Epoch: 70, time: 1.657, Train Loss: 3.528e-04,Vali Loss: 3.707e-04, Train l2: 0.0778, Vali l2: 0.0791
Epoch: 71, time: 2.240, Train Loss: 3.246e-04,Vali Loss: 3.575e-04, Train l2: 0.0749, Vali l2: 0.0803
Epoch: 72, time: 2.354, Train Loss: 3.425e-04,Vali Loss: 5.195e-04, Train l2: 0.0779, Vali l2: 0.0868
Epoch: 73, time: 2.042, Train Loss: 3.434e-04,Vali Loss: 3.773e-04, Train l2: 0.0763, Vali l2: 0.0791
Epoch: 74, time: 1.912, Train Loss: 3.081e-04,Vali Loss: 3.456e-04, Train l2: 0.0728, Vali l2: 0.0734
Epoch: 75, time: 1.231, Train Loss: 3.079e-04,Vali Loss: 3.904e-04, Train l2: 0.0726, Vali l2: 0.0828
Epoch: 76, time: 0.946, Train Loss: 3.263e-04,Vali Loss: 4.887e-04, Train l2: 0.0757, Vali l2: 0.0825
Epoch: 77, time: 0.945, Train Loss: 3.361e-04,Vali Loss: 3.379e-04, Train l2: 0.0758, Vali l2: 0.0739
Epoch: 78, time: 0.947, Train Loss: 2.841e-04,Vali Loss: 3.897e-04, Train l2: 0.0697, Vali l2: 0.0811
Epoch: 79, time: 0.974, Train Loss: 3.119e-04,Vali Loss: 3.701e-04, Train l2: 0.0744, Vali l2: 0.0780
Epoch: 80, time: 1.225, Train Loss: 3.076e-04,Vali Loss: 4.116e-04, Train l2: 0.0739, Vali l2: 0.0861
Epoch: 81, time: 2.343, Train Loss: 3.299e-04,Vali Loss: 4.391e-04, Train l2: 0.0763, Vali l2: 0.0854
Epoch: 82, time: 1.488, Train Loss: 3.097e-04,Vali Loss: 3.431e-04, Train l2: 0.0743, Vali l2: 0.0762
Epoch: 83, time: 0.945, Train Loss: 2.667e-04,Vali Loss: 2.864e-04, Train l2: 0.0683, Vali l2: 0.0688
Epoch: 84, time: 0.946, Train Loss: 3.019e-04,Vali Loss: 3.279e-04, Train l2: 0.0712, Vali l2: 0.0726
Epoch: 85, time: 0.941, Train Loss: 2.698e-04,Vali Loss: 3.355e-04, Train l2: 0.0681, Vali l2: 0.0774
Epoch: 86, time: 1.584, Train Loss: 2.650e-04,Vali Loss: 3.210e-04, Train l2: 0.0684, Vali l2: 0.0769
Epoch: 87, time: 1.584, Train Loss: 3.227e-04,Vali Loss: 3.287e-04, Train l2: 0.0735, Vali l2: 0.0762
Epoch: 88, time: 1.132, Train Loss: 2.733e-04,Vali Loss: 3.138e-04, Train l2: 0.0691, Vali l2: 0.0693
Epoch: 89, time: 1.001, Train Loss: 3.000e-04,Vali Loss: 4.990e-04, Train l2: 0.0708, Vali l2: 0.0856
Epoch: 90, time: 0.958, Train Loss: 3.200e-04,Vali Loss: 2.765e-04, Train l2: 0.0749, Vali l2: 0.0684
Epoch: 91, time: 0.941, Train Loss: 2.762e-04,Vali Loss: 3.110e-04, Train l2: 0.0677, Vali l2: 0.0724
Epoch: 92, time: 0.948, Train Loss: 2.876e-04,Vali Loss: 3.003e-04, Train l2: 0.0696, Vali l2: 0.0709
Epoch: 93, time: 1.042, Train Loss: 3.475e-04,Vali Loss: 7.225e-04, Train l2: 0.0759, Vali l2: 0.1062
Epoch: 94, time: 0.973, Train Loss: 2.805e-04,Vali Loss: 2.881e-04, Train l2: 0.0707, Vali l2: 0.0704
Epoch: 95, time: 1.121, Train Loss: 2.451e-04,Vali Loss: 2.568e-04, Train l2: 0.0653, Vali l2: 0.0664
Epoch: 96, time: 2.336, Train Loss: 2.851e-04,Vali Loss: 3.147e-04, Train l2: 0.0709, Vali l2: 0.0703
Epoch: 97, time: 2.026, Train Loss: 2.815e-04,Vali Loss: 3.243e-04, Train l2: 0.0707, Vali l2: 0.0730
Epoch: 98, time: 0.970, Train Loss: 2.551e-04,Vali Loss: 3.006e-04, Train l2: 0.0682, Vali l2: 0.0659
Epoch: 99, time: 1.000, Train Loss: 2.431e-04,Vali Loss: 2.813e-04, Train l2: 0.0655, Vali l2: 0.0672
Epoch: 100, time: 1.855, Train Loss: 1.950e-04,Vali Loss: 2.258e-04, Train l2: 0.0567, Vali l2: 0.0589
Epoch: 101, time: 0.977, Train Loss: 1.745e-04,Vali Loss: 2.053e-04, Train l2: 0.0529, Vali l2: 0.0552
Epoch: 102, time: 1.485, Train Loss: 1.773e-04,Vali Loss: 2.190e-04, Train l2: 0.0523, Vali l2: 0.0582
Epoch: 103, time: 0.947, Train Loss: 1.612e-04,Vali Loss: 2.347e-04, Train l2: 0.0516, Vali l2: 0.0567
Epoch: 104, time: 0.961, Train Loss: 1.622e-04,Vali Loss: 2.230e-04, Train l2: 0.0516, Vali l2: 0.0564
Epoch: 105, time: 2.376, Train Loss: 1.613e-04,Vali Loss: 1.915e-04, Train l2: 0.0529, Vali l2: 0.0539
Epoch: 106, time: 1.978, Train Loss: 1.569e-04,Vali Loss: 1.988e-04, Train l2: 0.0503, Vali l2: 0.0514
Epoch: 107, time: 1.652, Train Loss: 1.503e-04,Vali Loss: 1.967e-04, Train l2: 0.0490, Vali l2: 0.0548
Epoch: 108, time: 1.754, Train Loss: 1.541e-04,Vali Loss: 2.863e-04, Train l2: 0.0498, Vali l2: 0.0594
Epoch: 109, time: 1.851, Train Loss: 1.527e-04,Vali Loss: 2.225e-04, Train l2: 0.0499, Vali l2: 0.0556
Epoch: 110, time: 2.266, Train Loss: 1.548e-04,Vali Loss: 1.773e-04, Train l2: 0.0497, Vali l2: 0.0535
Epoch: 111, time: 1.710, Train Loss: 1.502e-04,Vali Loss: 1.700e-04, Train l2: 0.0489, Vali l2: 0.0504
Epoch: 112, time: 1.179, Train Loss: 1.513e-04,Vali Loss: 1.804e-04, Train l2: 0.0494, Vali l2: 0.0528
Epoch: 113, time: 0.968, Train Loss: 1.490e-04,Vali Loss: 1.737e-04, Train l2: 0.0501, Vali l2: 0.0528
Epoch: 114, time: 1.512, Train Loss: 1.611e-04,Vali Loss: 1.861e-04, Train l2: 0.0509, Vali l2: 0.0532
Epoch: 115, time: 1.002, Train Loss: 1.719e-04,Vali Loss: 3.076e-04, Train l2: 0.0527, Vali l2: 0.0618
Epoch: 116, time: 0.995, Train Loss: 1.731e-04,Vali Loss: 1.984e-04, Train l2: 0.0529, Vali l2: 0.0548
Epoch: 117, time: 1.240, Train Loss: 1.431e-04,Vali Loss: 1.887e-04, Train l2: 0.0490, Vali l2: 0.0533
Epoch: 118, time: 1.036, Train Loss: 1.470e-04,Vali Loss: 1.736e-04, Train l2: 0.0486, Vali l2: 0.0526
Epoch: 119, time: 0.958, Train Loss: 1.608e-04,Vali Loss: 2.192e-04, Train l2: 0.0517, Vali l2: 0.0580
Epoch: 120, time: 0.948, Train Loss: 1.533e-04,Vali Loss: 1.885e-04, Train l2: 0.0497, Vali l2: 0.0517
Epoch: 121, time: 1.560, Train Loss: 1.433e-04,Vali Loss: 1.740e-04, Train l2: 0.0486, Vali l2: 0.0514
Epoch: 122, time: 0.985, Train Loss: 1.461e-04,Vali Loss: 1.782e-04, Train l2: 0.0491, Vali l2: 0.0516
Epoch: 123, time: 1.104, Train Loss: 1.494e-04,Vali Loss: 1.867e-04, Train l2: 0.0489, Vali l2: 0.0552
