Epoch: 0, time: 3.437, Train Loss: 6.651e-02,Vali Loss: 1.309e-02, Train l2: 1.0300, Vali l2: 0.5574
Epoch: 1, time: 2.747, Train Loss: 9.751e-03,Vali Loss: 5.423e-03, Train l2: 0.4623, Vali l2: 0.3438
Epoch: 2, time: 2.680, Train Loss: 5.258e-03,Vali Loss: 4.527e-03, Train l2: 0.3394, Vali l2: 0.3364
Epoch: 3, time: 2.675, Train Loss: 2.896e-03,Vali Loss: 1.953e-03, Train l2: 0.2420, Vali l2: 0.1964
Epoch: 4, time: 2.683, Train Loss: 2.147e-03,Vali Loss: 4.891e-03, Train l2: 0.2111, Vali l2: 0.3853
Epoch: 5, time: 2.693, Train Loss: 2.111e-03,Vali Loss: 1.462e-03, Train l2: 0.2060, Vali l2: 0.1827
Epoch: 6, time: 2.675, Train Loss: 1.381e-03,Vali Loss: 1.708e-03, Train l2: 0.1710, Vali l2: 0.1850
Epoch: 7, time: 2.685, Train Loss: 1.213e-03,Vali Loss: 1.139e-03, Train l2: 0.1576, Vali l2: 0.1569
Epoch: 8, time: 2.682, Train Loss: 9.480e-04,Vali Loss: 8.880e-04, Train l2: 0.1381, Vali l2: 0.1298
Epoch: 9, time: 2.677, Train Loss: 9.772e-04,Vali Loss: 7.752e-04, Train l2: 0.1400, Vali l2: 0.1322
Epoch: 10, time: 2.682, Train Loss: 9.525e-04,Vali Loss: 8.942e-04, Train l2: 0.1410, Vali l2: 0.1382
Epoch: 11, time: 2.682, Train Loss: 7.319e-04,Vali Loss: 7.591e-04, Train l2: 0.1211, Vali l2: 0.1273
Epoch: 12, time: 2.679, Train Loss: 8.643e-04,Vali Loss: 6.230e-04, Train l2: 0.1317, Vali l2: 0.1084
Epoch: 13, time: 2.677, Train Loss: 7.452e-04,Vali Loss: 7.824e-04, Train l2: 0.1247, Vali l2: 0.1250
Epoch: 14, time: 2.696, Train Loss: 9.659e-04,Vali Loss: 1.875e-03, Train l2: 0.1434, Vali l2: 0.1954
Epoch: 15, time: 2.679, Train Loss: 7.365e-04,Vali Loss: 5.758e-04, Train l2: 0.1234, Vali l2: 0.1049
Epoch: 16, time: 2.682, Train Loss: 7.385e-04,Vali Loss: 1.154e-03, Train l2: 0.1224, Vali l2: 0.1480
Epoch: 17, time: 2.672, Train Loss: 6.055e-04,Vali Loss: 9.093e-04, Train l2: 0.1106, Vali l2: 0.1332
