Epoch: 0, time: 3.496, Train Loss: 1.021e-01,Vali Loss: 1.635e-02, Train l2: 1.2996, Vali l2: 0.5536
Epoch: 1, time: 1.763, Train Loss: 1.124e-02,Vali Loss: 5.670e-03, Train l2: 0.4904, Vali l2: 0.3431
Epoch: 2, time: 1.760, Train Loss: 4.152e-03,Vali Loss: 4.267e-03, Train l2: 0.2847, Vali l2: 0.2740
Epoch: 3, time: 1.759, Train Loss: 3.343e-03,Vali Loss: 2.451e-03, Train l2: 0.2630, Vali l2: 0.2256
Epoch: 4, time: 1.758, Train Loss: 2.335e-03,Vali Loss: 1.840e-03, Train l2: 0.2154, Vali l2: 0.1938
Epoch: 5, time: 1.762, Train Loss: 2.102e-03,Vali Loss: 1.520e-03, Train l2: 0.2077, Vali l2: 0.1719
Epoch: 6, time: 1.757, Train Loss: 1.496e-03,Vali Loss: 1.309e-03, Train l2: 0.1730, Vali l2: 0.1648
Epoch: 7, time: 1.759, Train Loss: 1.475e-03,Vali Loss: 1.718e-03, Train l2: 0.1746, Vali l2: 0.2006
Epoch: 8, time: 1.760, Train Loss: 1.363e-03,Vali Loss: 1.142e-03, Train l2: 0.1691, Vali l2: 0.1464
Epoch: 9, time: 1.761, Train Loss: 1.250e-03,Vali Loss: 1.517e-03, Train l2: 0.1611, Vali l2: 0.1847
Epoch: 10, time: 1.757, Train Loss: 1.014e-03,Vali Loss: 8.010e-04, Train l2: 0.1437, Vali l2: 0.1284
Epoch: 11, time: 1.754, Train Loss: 8.704e-04,Vali Loss: 1.056e-03, Train l2: 0.1338, Vali l2: 0.1552
Epoch: 12, time: 1.760, Train Loss: 9.538e-04,Vali Loss: 1.172e-03, Train l2: 0.1432, Vali l2: 0.1451
Epoch: 13, time: 1.760, Train Loss: 9.112e-04,Vali Loss: 1.305e-03, Train l2: 0.1380, Vali l2: 0.1570
Epoch: 14, time: 1.760, Train Loss: 7.794e-04,Vali Loss: 7.637e-04, Train l2: 0.1267, Vali l2: 0.1259
Epoch: 15, time: 1.760, Train Loss: 8.021e-04,Vali Loss: 6.454e-04, Train l2: 0.1284, Vali l2: 0.1104
Epoch: 16, time: 1.759, Train Loss: 7.067e-04,Vali Loss: 5.974e-04, Train l2: 0.1199, Vali l2: 0.1040
