Epoch: 0, time: 2.759, Train Loss: 6.027e-01,Vali Loss: 5.404e-01, Train l2: 1.9899, Vali l2: 1.3213
Epoch: 1, time: 0.172, Train Loss: 5.530e-01,Vali Loss: 4.331e-01, Train l2: 1.7284, Vali l2: 1.3025
Epoch: 2, time: 0.167, Train Loss: 5.079e-01,Vali Loss: 3.983e-01, Train l2: 1.5358, Vali l2: 1.1169
Epoch: 3, time: 0.163, Train Loss: 4.772e-01,Vali Loss: 3.861e-01, Train l2: 1.3935, Vali l2: 1.1088
Epoch: 4, time: 0.162, Train Loss: 4.764e-01,Vali Loss: 4.252e-01, Train l2: 1.3103, Vali l2: 1.2802
Epoch: 5, time: 0.163, Train Loss: 4.766e-01,Vali Loss: 3.989e-01, Train l2: 1.3485, Vali l2: 1.1268
Epoch: 6, time: 0.163, Train Loss: 4.597e-01,Vali Loss: 4.331e-01, Train l2: 1.1906, Vali l2: 1.0677
Epoch: 7, time: 0.161, Train Loss: 4.505e-01,Vali Loss: 3.839e-01, Train l2: 1.1069, Vali l2: 0.9783
Epoch: 8, time: 0.161, Train Loss: 4.452e-01,Vali Loss: 3.850e-01, Train l2: 1.0185, Vali l2: 0.9475
Epoch: 9, time: 0.163, Train Loss: 4.361e-01,Vali Loss: 4.081e-01, Train l2: 0.9805, Vali l2: 0.9485
Epoch: 10, time: 0.161, Train Loss: 4.433e-01,Vali Loss: 3.722e-01, Train l2: 1.0262, Vali l2: 0.9576
Epoch: 11, time: 0.164, Train Loss: 4.385e-01,Vali Loss: 4.037e-01, Train l2: 0.9882, Vali l2: 0.9457
Epoch: 12, time: 0.163, Train Loss: 4.376e-01,Vali Loss: 3.558e-01, Train l2: 0.9782, Vali l2: 0.9296
Epoch: 13, time: 0.161, Train Loss: 4.311e-01,Vali Loss: 3.442e-01, Train l2: 0.9566, Vali l2: 0.9320
Epoch: 14, time: 0.161, Train Loss: 4.211e-01,Vali Loss: 3.485e-01, Train l2: 0.9686, Vali l2: 0.9371
Epoch: 15, time: 0.164, Train Loss: 4.203e-01,Vali Loss: 3.484e-01, Train l2: 0.9713, Vali l2: 0.9343
Epoch: 16, time: 0.163, Train Loss: 4.227e-01,Vali Loss: 3.687e-01, Train l2: 0.9784, Vali l2: 0.9314
Epoch: 17, time: 0.161, Train Loss: 4.305e-01,Vali Loss: 3.637e-01, Train l2: 1.0018, Vali l2: 0.9358
Epoch: 18, time: 0.163, Train Loss: 4.289e-01,Vali Loss: 4.050e-01, Train l2: 0.9704, Vali l2: 0.9613
Epoch: 19, time: 0.162, Train Loss: 4.314e-01,Vali Loss: 3.497e-01, Train l2: 0.9966, Vali l2: 0.9493
Epoch: 20, time: 0.161, Train Loss: 4.351e-01,Vali Loss: 3.644e-01, Train l2: 1.0200, Vali l2: 0.9511
Epoch: 21, time: 0.162, Train Loss: 4.391e-01,Vali Loss: 3.765e-01, Train l2: 1.0022, Vali l2: 0.9498
Epoch: 22, time: 0.161, Train Loss: 4.439e-01,Vali Loss: 3.627e-01, Train l2: 1.0153, Vali l2: 0.9636
Epoch: 23, time: 0.163, Train Loss: 4.436e-01,Vali Loss: 3.677e-01, Train l2: 0.9844, Vali l2: 0.9284
Epoch: 24, time: 0.160, Train Loss: 4.344e-01,Vali Loss: 3.255e-01, Train l2: 0.9682, Vali l2: 0.9139
Epoch: 25, time: 0.161, Train Loss: 4.311e-01,Vali Loss: 3.560e-01, Train l2: 0.9490, Vali l2: 0.9210
Epoch: 26, time: 0.163, Train Loss: 4.253e-01,Vali Loss: 3.579e-01, Train l2: 0.9730, Vali l2: 0.9073
Epoch: 27, time: 0.162, Train Loss: 4.228e-01,Vali Loss: 3.812e-01, Train l2: 0.9857, Vali l2: 0.9409
Epoch: 28, time: 0.161, Train Loss: 4.242e-01,Vali Loss: 3.412e-01, Train l2: 0.9729, Vali l2: 0.9445
Epoch: 29, time: 0.162, Train Loss: 4.286e-01,Vali Loss: 3.454e-01, Train l2: 0.9812, Vali l2: 0.9186
Epoch: 30, time: 0.162, Train Loss: 4.350e-01,Vali Loss: 3.682e-01, Train l2: 1.0016, Vali l2: 0.9871
Epoch: 31, time: 0.163, Train Loss: 4.437e-01,Vali Loss: 3.428e-01, Train l2: 1.0162, Vali l2: 0.9322
Epoch: 32, time: 0.162, Train Loss: 4.349e-01,Vali Loss: 3.546e-01, Train l2: 0.9759, Vali l2: 0.9178
Epoch: 33, time: 0.163, Train Loss: 4.335e-01,Vali Loss: 3.675e-01, Train l2: 0.9540, Vali l2: 0.9264
Epoch: 34, time: 0.163, Train Loss: 4.316e-01,Vali Loss: 3.620e-01, Train l2: 0.9805, Vali l2: 0.9390
Epoch: 35, time: 0.162, Train Loss: 4.458e-01,Vali Loss: 3.789e-01, Train l2: 1.0460, Vali l2: 1.0167
Epoch: 36, time: 0.164, Train Loss: 4.494e-01,Vali Loss: 3.974e-01, Train l2: 1.0560, Vali l2: 0.9988
Epoch: 37, time: 0.161, Train Loss: 4.516e-01,Vali Loss: 3.511e-01, Train l2: 1.0371, Vali l2: 0.9553
Epoch: 38, time: 0.161, Train Loss: 4.350e-01,Vali Loss: 3.450e-01, Train l2: 0.9854, Vali l2: 0.9305
Epoch: 39, time: 0.161, Train Loss: 4.296e-01,Vali Loss: 3.447e-01, Train l2: 0.9679, Vali l2: 0.9005
Epoch: 40, time: 0.163, Train Loss: 4.184e-01,Vali Loss: 3.470e-01, Train l2: 0.9486, Vali l2: 0.9009
Epoch: 41, time: 0.162, Train Loss: 4.139e-01,Vali Loss: 3.266e-01, Train l2: 0.9430, Vali l2: 0.8903
Epoch: 42, time: 0.162, Train Loss: 4.127e-01,Vali Loss: 3.418e-01, Train l2: 0.9556, Vali l2: 0.9035
Epoch: 43, time: 0.161, Train Loss: 4.052e-01,Vali Loss: 3.560e-01, Train l2: 0.9288, Vali l2: 0.9394
Epoch: 44, time: 0.163, Train Loss: 4.246e-01,Vali Loss: 3.435e-01, Train l2: 0.9869, Vali l2: 0.9096
Epoch: 45, time: 0.163, Train Loss: 4.109e-01,Vali Loss: 3.396e-01, Train l2: 0.9589, Vali l2: 0.8981
Epoch: 46, time: 0.161, Train Loss: 4.057e-01,Vali Loss: 3.698e-01, Train l2: 0.9521, Vali l2: 0.9285
Epoch: 47, time: 0.163, Train Loss: 4.297e-01,Vali Loss: 3.729e-01, Train l2: 1.0564, Vali l2: 0.9624
Epoch: 48, time: 0.163, Train Loss: 4.405e-01,Vali Loss: 3.816e-01, Train l2: 1.0249, Vali l2: 0.9551
Epoch: 49, time: 0.161, Train Loss: 4.326e-01,Vali Loss: 3.688e-01, Train l2: 1.0091, Vali l2: 0.9507
Epoch: 50, time: 0.163, Train Loss: 4.366e-01,Vali Loss: 3.622e-01, Train l2: 1.0117, Vali l2: 0.9474
Epoch: 51, time: 0.163, Train Loss: 4.318e-01,Vali Loss: 3.606e-01, Train l2: 0.9856, Vali l2: 0.9624
Epoch: 52, time: 0.161, Train Loss: 4.362e-01,Vali Loss: 3.568e-01, Train l2: 0.9838, Vali l2: 0.9399
Epoch: 53, time: 0.161, Train Loss: 4.269e-01,Vali Loss: 3.416e-01, Train l2: 0.9576, Vali l2: 0.9769
Epoch: 54, time: 0.164, Train Loss: 4.280e-01,Vali Loss: 3.532e-01, Train l2: 1.0212, Vali l2: 0.9688
Epoch: 55, time: 0.161, Train Loss: 4.257e-01,Vali Loss: 3.795e-01, Train l2: 0.9831, Vali l2: 0.9375
Epoch: 56, time: 0.162, Train Loss: 4.199e-01,Vali Loss: 3.654e-01, Train l2: 0.9646, Vali l2: 0.9461
Epoch: 57, time: 0.163, Train Loss: 4.222e-01,Vali Loss: 3.487e-01, Train l2: 0.9883, Vali l2: 0.9393
Epoch: 58, time: 0.162, Train Loss: 4.157e-01,Vali Loss: 3.933e-01, Train l2: 0.9546, Vali l2: 0.9914
Epoch: 59, time: 0.162, Train Loss: 4.238e-01,Vali Loss: 3.457e-01, Train l2: 1.0251, Vali l2: 0.9462
Epoch: 60, time: 0.163, Train Loss: 4.297e-01,Vali Loss: 3.459e-01, Train l2: 1.0386, Vali l2: 0.9853
Epoch: 61, time: 0.163, Train Loss: 4.334e-01,Vali Loss: 3.717e-01, Train l2: 1.0154, Vali l2: 0.9445
Epoch: 62, time: 0.161, Train Loss: 4.265e-01,Vali Loss: 3.934e-01, Train l2: 0.9999, Vali l2: 1.0248
Epoch: 63, time: 0.161, Train Loss: 4.469e-01,Vali Loss: 3.880e-01, Train l2: 1.0573, Vali l2: 0.9724
Epoch: 64, time: 0.162, Train Loss: 4.488e-01,Vali Loss: 3.769e-01, Train l2: 1.0344, Vali l2: 0.9852
Epoch: 65, time: 0.164, Train Loss: 4.519e-01,Vali Loss: 3.917e-01, Train l2: 1.0338, Vali l2: 0.9625
Epoch: 66, time: 0.162, Train Loss: 4.480e-01,Vali Loss: 3.776e-01, Train l2: 1.0130, Vali l2: 0.9552
Epoch: 67, time: 0.161, Train Loss: 4.421e-01,Vali Loss: 3.546e-01, Train l2: 0.9857, Vali l2: 0.9431
Epoch: 68, time: 0.161, Train Loss: 4.411e-01,Vali Loss: 3.706e-01, Train l2: 0.9842, Vali l2: 0.9932
Epoch: 69, time: 0.161, Train Loss: 4.390e-01,Vali Loss: 3.644e-01, Train l2: 1.0055, Vali l2: 0.9345
Epoch: 70, time: 0.163, Train Loss: 4.309e-01,Vali Loss: 3.944e-01, Train l2: 0.9624, Vali l2: 1.0112
Epoch: 71, time: 0.164, Train Loss: 4.340e-01,Vali Loss: 3.736e-01, Train l2: 0.9996, Vali l2: 0.9737
Epoch: 72, time: 0.163, Train Loss: 4.380e-01,Vali Loss: 3.527e-01, Train l2: 1.0157, Vali l2: 0.9897
Epoch: 73, time: 0.165, Train Loss: 4.418e-01,Vali Loss: 3.475e-01, Train l2: 1.0091, Vali l2: 0.9660
