Epoch: 0, time: 1.669, Train Loss: 4.726e-01,Vali Loss: 3.653e-01, Train l2: 1.2973, Vali l2: 1.0450
Epoch: 1, time: 0.106, Train Loss: 4.217e-01,Vali Loss: 3.585e-01, Train l2: 1.1047, Vali l2: 1.0090
Epoch: 2, time: 0.103, Train Loss: 4.164e-01,Vali Loss: 3.503e-01, Train l2: 1.0345, Vali l2: 0.9747
Epoch: 3, time: 0.100, Train Loss: 4.042e-01,Vali Loss: 3.323e-01, Train l2: 1.0003, Vali l2: 0.9647
Epoch: 4, time: 0.102, Train Loss: 3.998e-01,Vali Loss: 3.370e-01, Train l2: 1.0254, Vali l2: 0.9653
Epoch: 5, time: 0.102, Train Loss: 3.958e-01,Vali Loss: 3.480e-01, Train l2: 1.0265, Vali l2: 0.9731
Epoch: 6, time: 0.103, Train Loss: 3.907e-01,Vali Loss: 3.407e-01, Train l2: 1.0330, Vali l2: 0.9848
Epoch: 7, time: 0.103, Train Loss: 3.862e-01,Vali Loss: 3.209e-01, Train l2: 1.0751, Vali l2: 0.9593
Epoch: 8, time: 0.101, Train Loss: 3.766e-01,Vali Loss: 3.160e-01, Train l2: 1.0211, Vali l2: 0.9546
Epoch: 9, time: 0.100, Train Loss: 3.697e-01,Vali Loss: 3.173e-01, Train l2: 0.9835, Vali l2: 0.9380
Epoch: 10, time: 0.100, Train Loss: 3.616e-01,Vali Loss: 2.983e-01, Train l2: 0.9138, Vali l2: 0.9053
Epoch: 11, time: 0.100, Train Loss: 3.574e-01,Vali Loss: 3.062e-01, Train l2: 0.9363, Vali l2: 0.8922
Epoch: 12, time: 0.101, Train Loss: 3.512e-01,Vali Loss: 3.132e-01, Train l2: 0.8833, Vali l2: 0.8809
Epoch: 13, time: 0.101, Train Loss: 3.497e-01,Vali Loss: 2.960e-01, Train l2: 0.8743, Vali l2: 0.9062
Epoch: 14, time: 0.100, Train Loss: 3.511e-01,Vali Loss: 2.884e-01, Train l2: 0.9328, Vali l2: 0.9158
