Epoch: 0, time: 2.631, Train Loss: 6.426e-01,Vali Loss: 6.525e-01, Train l2: 2.2231, Vali l2: 1.6961
Epoch: 1, time: 0.167, Train Loss: 6.199e-01,Vali Loss: 5.153e-01, Train l2: 2.0554, Vali l2: 1.5656
Epoch: 2, time: 0.159, Train Loss: 5.456e-01,Vali Loss: 3.835e-01, Train l2: 1.8132, Vali l2: 1.1851
Epoch: 3, time: 0.157, Train Loss: 4.520e-01,Vali Loss: 3.984e-01, Train l2: 1.2525, Vali l2: 1.1129
Epoch: 4, time: 0.158, Train Loss: 4.845e-01,Vali Loss: 4.077e-01, Train l2: 1.4266, Vali l2: 1.2243
Epoch: 5, time: 0.156, Train Loss: 4.665e-01,Vali Loss: 3.987e-01, Train l2: 1.4956, Vali l2: 1.1024
Epoch: 6, time: 0.158, Train Loss: 4.525e-01,Vali Loss: 4.033e-01, Train l2: 1.2134, Vali l2: 1.0380
Epoch: 7, time: 0.157, Train Loss: 4.457e-01,Vali Loss: 3.879e-01, Train l2: 1.1888, Vali l2: 0.9828
Epoch: 8, time: 0.155, Train Loss: 4.612e-01,Vali Loss: 4.008e-01, Train l2: 1.1494, Vali l2: 1.0173
Epoch: 9, time: 0.155, Train Loss: 4.583e-01,Vali Loss: 3.993e-01, Train l2: 1.0535, Vali l2: 0.9773
Epoch: 10, time: 0.155, Train Loss: 4.754e-01,Vali Loss: 3.873e-01, Train l2: 1.1770, Vali l2: 1.0015
Epoch: 11, time: 0.157, Train Loss: 4.719e-01,Vali Loss: 3.878e-01, Train l2: 1.0799, Vali l2: 0.9713
Epoch: 12, time: 0.156, Train Loss: 4.490e-01,Vali Loss: 3.745e-01, Train l2: 1.0971, Vali l2: 1.0573
Epoch: 13, time: 0.157, Train Loss: 4.481e-01,Vali Loss: 3.576e-01, Train l2: 1.0682, Vali l2: 0.9865
Epoch: 14, time: 0.155, Train Loss: 4.410e-01,Vali Loss: 3.482e-01, Train l2: 1.0376, Vali l2: 0.9698
Epoch: 15, time: 0.158, Train Loss: 4.381e-01,Vali Loss: 4.265e-01, Train l2: 1.0204, Vali l2: 1.0180
Epoch: 16, time: 0.157, Train Loss: 4.523e-01,Vali Loss: 3.817e-01, Train l2: 1.1287, Vali l2: 1.0955
Epoch: 17, time: 0.156, Train Loss: 4.590e-01,Vali Loss: 3.673e-01, Train l2: 1.1085, Vali l2: 0.9876
Epoch: 18, time: 0.159, Train Loss: 4.580e-01,Vali Loss: 3.741e-01, Train l2: 1.0862, Vali l2: 0.9967
