Epoch: 0, time: 0.461, Train Loss: 1.070e-01,Vali Loss: 7.555e-02, Train l2: 1.2648, Vali l2: 1.5053
Epoch: 1, time: 0.066, Train Loss: 7.881e-02,Vali Loss: 5.258e-02, Train l2: 0.9378, Vali l2: 0.9429
Epoch: 2, time: 0.064, Train Loss: 5.129e-02,Vali Loss: 3.318e-02, Train l2: 0.8260, Vali l2: 0.5765
Epoch: 3, time: 0.064, Train Loss: 4.059e-02,Vali Loss: 2.947e-02, Train l2: 0.6539, Vali l2: 0.5323
Epoch: 4, time: 0.065, Train Loss: 2.949e-02,Vali Loss: 2.466e-02, Train l2: 0.4996, Vali l2: 0.4676
Epoch: 5, time: 0.064, Train Loss: 1.758e-02,Vali Loss: 1.172e-02, Train l2: 0.3487, Vali l2: 0.4053
Epoch: 6, time: 0.064, Train Loss: 1.202e-02,Vali Loss: 1.616e-02, Train l2: 0.2894, Vali l2: 0.3818
Epoch: 7, time: 0.064, Train Loss: 7.297e-03,Vali Loss: 1.551e-02, Train l2: 0.2471, Vali l2: 0.3672
Epoch: 8, time: 0.064, Train Loss: 5.216e-03,Vali Loss: 9.719e-03, Train l2: 0.2213, Vali l2: 0.3232
Epoch: 9, time: 0.064, Train Loss: 2.776e-03,Vali Loss: 1.044e-02, Train l2: 0.2088, Vali l2: 0.9112
Epoch: 10, time: 0.064, Train Loss: 2.865e-03,Vali Loss: 1.385e-02, Train l2: 0.3111, Vali l2: 0.6751
Epoch: 11, time: 0.064, Train Loss: 3.410e-03,Vali Loss: 8.970e-03, Train l2: 0.2787, Vali l2: 0.3738
Epoch: 12, time: 0.064, Train Loss: 3.653e-03,Vali Loss: 1.967e-02, Train l2: 0.3372, Vali l2: 0.4518
Epoch: 13, time: 0.064, Train Loss: 2.921e-03,Vali Loss: 1.175e-02, Train l2: 0.2240, Vali l2: 0.4120
Epoch: 14, time: 0.064, Train Loss: 2.999e-03,Vali Loss: 1.744e-02, Train l2: 0.2021, Vali l2: 0.3381
Epoch: 15, time: 0.064, Train Loss: 1.842e-03,Vali Loss: 1.165e-02, Train l2: 0.1742, Vali l2: 0.4074
Epoch: 16, time: 0.064, Train Loss: 1.756e-03,Vali Loss: 9.400e-03, Train l2: 0.1803, Vali l2: 0.3440
Epoch: 17, time: 0.064, Train Loss: 1.079e-03,Vali Loss: 1.421e-02, Train l2: 0.1667, Vali l2: 0.4621
Epoch: 18, time: 0.064, Train Loss: 1.083e-03,Vali Loss: 1.148e-02, Train l2: 0.2497, Vali l2: 0.5972
Epoch: 19, time: 0.064, Train Loss: 1.733e-03,Vali Loss: 1.906e-02, Train l2: 0.2678, Vali l2: 0.5182
Epoch: 20, time: 0.064, Train Loss: 2.342e-03,Vali Loss: 1.059e-02, Train l2: 0.2114, Vali l2: 0.3650
Epoch: 21, time: 0.064, Train Loss: 1.149e-03,Vali Loss: 1.285e-02, Train l2: 0.1446, Vali l2: 0.3768
Epoch: 22, time: 0.063, Train Loss: 1.134e-03,Vali Loss: 1.311e-02, Train l2: 0.1954, Vali l2: 0.3650
Epoch: 23, time: 0.068, Train Loss: 8.463e-04,Vali Loss: 1.260e-02, Train l2: 0.1810, Vali l2: 0.4228
Epoch: 24, time: 0.064, Train Loss: 7.891e-04,Vali Loss: 1.309e-02, Train l2: 0.1546, Vali l2: 0.3534
Epoch: 25, time: 0.064, Train Loss: 5.678e-04,Vali Loss: 1.184e-02, Train l2: 0.1160, Vali l2: 0.2982
Epoch: 26, time: 0.064, Train Loss: 5.290e-04,Vali Loss: 1.162e-02, Train l2: 0.0949, Vali l2: 0.2976
Epoch: 27, time: 0.064, Train Loss: 4.508e-04,Vali Loss: 1.027e-02, Train l2: 0.0857, Vali l2: 0.2877
Epoch: 28, time: 0.070, Train Loss: 3.475e-04,Vali Loss: 1.215e-02, Train l2: 0.0711, Vali l2: 0.2913
Epoch: 29, time: 0.063, Train Loss: 4.214e-04,Vali Loss: 1.281e-02, Train l2: 0.0970, Vali l2: 0.4947
Epoch: 30, time: 0.063, Train Loss: 4.179e-04,Vali Loss: 8.895e-03, Train l2: 0.1362, Vali l2: 0.2670
Epoch: 31, time: 0.063, Train Loss: 4.706e-04,Vali Loss: 1.499e-02, Train l2: 0.1202, Vali l2: 0.3123
Epoch: 32, time: 0.063, Train Loss: 3.828e-04,Vali Loss: 1.073e-02, Train l2: 0.0844, Vali l2: 0.3065
Epoch: 33, time: 0.064, Train Loss: 4.118e-04,Vali Loss: 8.690e-03, Train l2: 0.1033, Vali l2: 0.2968
Epoch: 34, time: 0.064, Train Loss: 1.244e-03,Vali Loss: 9.090e-03, Train l2: 0.1331, Vali l2: 0.2712
Epoch: 35, time: 0.063, Train Loss: 1.807e-03,Vali Loss: 1.342e-02, Train l2: 0.1484, Vali l2: 0.3250
Epoch: 36, time: 0.063, Train Loss: 1.285e-03,Vali Loss: 1.307e-02, Train l2: 0.1669, Vali l2: 0.4778
Epoch: 37, time: 0.064, Train Loss: 1.101e-03,Vali Loss: 1.333e-02, Train l2: 0.1560, Vali l2: 0.4288
Epoch: 38, time: 0.064, Train Loss: 1.226e-03,Vali Loss: 1.218e-02, Train l2: 0.2283, Vali l2: 0.4052
Epoch: 39, time: 0.063, Train Loss: 9.321e-04,Vali Loss: 1.434e-02, Train l2: 0.2318, Vali l2: 0.3127
Epoch: 40, time: 0.064, Train Loss: 9.857e-04,Vali Loss: 1.330e-02, Train l2: 0.2032, Vali l2: 0.3646
Epoch: 41, time: 0.064, Train Loss: 5.639e-04,Vali Loss: 1.087e-02, Train l2: 0.1553, Vali l2: 0.3620
Epoch: 42, time: 0.063, Train Loss: 5.105e-04,Vali Loss: 1.079e-02, Train l2: 0.1450, Vali l2: 0.3458
Epoch: 43, time: 0.063, Train Loss: 4.147e-04,Vali Loss: 1.237e-02, Train l2: 0.1259, Vali l2: 0.4239
Epoch: 44, time: 0.063, Train Loss: 3.636e-04,Vali Loss: 1.107e-02, Train l2: 0.1128, Vali l2: 0.2787
Epoch: 45, time: 0.063, Train Loss: 2.536e-04,Vali Loss: 1.515e-02, Train l2: 0.0670, Vali l2: 0.2915
Epoch: 46, time: 0.063, Train Loss: 1.746e-04,Vali Loss: 1.299e-02, Train l2: 0.0607, Vali l2: 0.2860
Epoch: 47, time: 0.063, Train Loss: 1.820e-04,Vali Loss: 1.036e-02, Train l2: 0.0605, Vali l2: 0.2933
Epoch: 48, time: 0.063, Train Loss: 2.013e-04,Vali Loss: 1.002e-02, Train l2: 0.0675, Vali l2: 0.3274
Epoch: 49, time: 0.064, Train Loss: 2.062e-04,Vali Loss: 9.992e-03, Train l2: 0.0628, Vali l2: 0.2822
Epoch: 50, time: 0.064, Train Loss: 2.269e-04,Vali Loss: 1.063e-02, Train l2: 0.0685, Vali l2: 0.2699
Epoch: 51, time: 0.063, Train Loss: 2.356e-04,Vali Loss: 1.054e-02, Train l2: 0.0667, Vali l2: 0.2739
Epoch: 52, time: 0.063, Train Loss: 1.851e-04,Vali Loss: 1.141e-02, Train l2: 0.0575, Vali l2: 0.2637
Epoch: 53, time: 0.063, Train Loss: 1.648e-04,Vali Loss: 1.098e-02, Train l2: 0.0510, Vali l2: 0.2633
Epoch: 54, time: 0.064, Train Loss: 1.982e-04,Vali Loss: 9.423e-03, Train l2: 0.0674, Vali l2: 0.3028
Epoch: 55, time: 0.063, Train Loss: 1.854e-04,Vali Loss: 1.241e-02, Train l2: 0.0675, Vali l2: 0.2746
Epoch: 56, time: 0.063, Train Loss: 2.006e-04,Vali Loss: 9.096e-03, Train l2: 0.0647, Vali l2: 0.2967
Epoch: 57, time: 0.063, Train Loss: 1.938e-04,Vali Loss: 9.279e-03, Train l2: 0.0710, Vali l2: 0.2653
Epoch: 58, time: 0.064, Train Loss: 1.515e-04,Vali Loss: 9.227e-03, Train l2: 0.0642, Vali l2: 0.2683
Epoch: 59, time: 0.063, Train Loss: 1.452e-04,Vali Loss: 1.006e-02, Train l2: 0.0871, Vali l2: 0.2986
Epoch: 60, time: 0.066, Train Loss: 2.215e-04,Vali Loss: 1.061e-02, Train l2: 0.0903, Vali l2: 0.2889
Epoch: 61, time: 0.064, Train Loss: 4.881e-04,Vali Loss: 7.483e-03, Train l2: 0.0898, Vali l2: 0.3387
Epoch: 62, time: 0.063, Train Loss: 5.658e-04,Vali Loss: 1.077e-02, Train l2: 0.1595, Vali l2: 0.4277
Epoch: 63, time: 0.063, Train Loss: 7.542e-04,Vali Loss: 8.503e-03, Train l2: 0.1972, Vali l2: 0.2919
Epoch: 64, time: 0.063, Train Loss: 3.058e-04,Vali Loss: 1.120e-02, Train l2: 0.1553, Vali l2: 0.3138
Epoch: 65, time: 0.064, Train Loss: 4.055e-04,Vali Loss: 9.971e-03, Train l2: 0.0890, Vali l2: 0.3455
Epoch: 66, time: 0.063, Train Loss: 4.988e-04,Vali Loss: 9.389e-03, Train l2: 0.1350, Vali l2: 0.3042
Epoch: 67, time: 0.063, Train Loss: 4.846e-04,Vali Loss: 1.087e-02, Train l2: 0.0967, Vali l2: 0.2551
Epoch: 68, time: 0.063, Train Loss: 4.395e-04,Vali Loss: 1.067e-02, Train l2: 0.0890, Vali l2: 0.3030
Epoch: 69, time: 0.063, Train Loss: 4.680e-04,Vali Loss: 1.302e-02, Train l2: 0.0828, Vali l2: 0.2916
Epoch: 70, time: 0.063, Train Loss: 3.941e-04,Vali Loss: 1.165e-02, Train l2: 0.0729, Vali l2: 0.3138
Epoch: 71, time: 0.063, Train Loss: 3.372e-04,Vali Loss: 1.302e-02, Train l2: 0.0937, Vali l2: 0.3140
Epoch: 72, time: 0.063, Train Loss: 3.492e-04,Vali Loss: 1.197e-02, Train l2: 0.1048, Vali l2: 0.3208
Epoch: 73, time: 0.064, Train Loss: 3.911e-04,Vali Loss: 1.232e-02, Train l2: 0.0878, Vali l2: 0.3283
Epoch: 74, time: 0.063, Train Loss: 4.126e-04,Vali Loss: 1.016e-02, Train l2: 0.0853, Vali l2: 0.2574
Epoch: 75, time: 0.063, Train Loss: 2.022e-04,Vali Loss: 1.239e-02, Train l2: 0.1099, Vali l2: 0.2958
Epoch: 76, time: 0.063, Train Loss: 2.572e-04,Vali Loss: 8.730e-03, Train l2: 0.1101, Vali l2: 0.3327
Epoch: 77, time: 0.064, Train Loss: 3.335e-04,Vali Loss: 8.684e-03, Train l2: 0.1433, Vali l2: 0.2853
Epoch: 78, time: 0.063, Train Loss: 2.478e-04,Vali Loss: 8.854e-03, Train l2: 0.1017, Vali l2: 0.2766
Epoch: 79, time: 0.063, Train Loss: 2.558e-04,Vali Loss: 9.437e-03, Train l2: 0.1310, Vali l2: 0.3325
Epoch: 80, time: 0.063, Train Loss: 3.486e-04,Vali Loss: 1.160e-02, Train l2: 0.1111, Vali l2: 0.3012
Epoch: 81, time: 0.063, Train Loss: 2.394e-04,Vali Loss: 1.134e-02, Train l2: 0.1180, Vali l2: 0.3388
Epoch: 82, time: 0.063, Train Loss: 2.276e-04,Vali Loss: 1.190e-02, Train l2: 0.0843, Vali l2: 0.2755
Epoch: 83, time: 0.063, Train Loss: 2.121e-04,Vali Loss: 1.409e-02, Train l2: 0.0645, Vali l2: 0.2936
Epoch: 84, time: 0.063, Train Loss: 2.083e-04,Vali Loss: 1.113e-02, Train l2: 0.0753, Vali l2: 0.2937
Epoch: 85, time: 0.063, Train Loss: 2.894e-04,Vali Loss: 9.620e-03, Train l2: 0.0772, Vali l2: 0.3101
Epoch: 86, time: 0.068, Train Loss: 3.373e-04,Vali Loss: 1.108e-02, Train l2: 0.0754, Vali l2: 0.3124
Epoch: 87, time: 0.063, Train Loss: 2.488e-04,Vali Loss: 1.195e-02, Train l2: 0.0784, Vali l2: 0.2902
Epoch: 88, time: 0.063, Train Loss: 5.261e-04,Vali Loss: 1.265e-02, Train l2: 0.0949, Vali l2: 0.3086
Epoch: 89, time: 0.063, Train Loss: 2.310e-04,Vali Loss: 1.117e-02, Train l2: 0.1029, Vali l2: 0.2912
Epoch: 90, time: 0.063, Train Loss: 2.318e-04,Vali Loss: 1.460e-02, Train l2: 0.1021, Vali l2: 0.3436
Epoch: 91, time: 0.063, Train Loss: 3.110e-04,Vali Loss: 1.066e-02, Train l2: 0.1164, Vali l2: 0.3343
Epoch: 92, time: 0.063, Train Loss: 2.786e-04,Vali Loss: 1.277e-02, Train l2: 0.0999, Vali l2: 0.2766
