Epoch: 0, time: 0.498, Train Loss: 1.085e-01,Vali Loss: 5.638e-02, Train l2: 1.5294, Vali l2: 1.8739
Epoch: 1, time: 0.099, Train Loss: 7.126e-02,Vali Loss: 5.596e-02, Train l2: 0.9648, Vali l2: 0.8876
Epoch: 2, time: 0.098, Train Loss: 5.302e-02,Vali Loss: 3.879e-02, Train l2: 0.7938, Vali l2: 0.7096
Epoch: 3, time: 0.097, Train Loss: 3.530e-02,Vali Loss: 2.776e-02, Train l2: 0.6521, Vali l2: 0.5360
Epoch: 4, time: 0.099, Train Loss: 2.181e-02,Vali Loss: 1.223e-02, Train l2: 0.4551, Vali l2: 0.4439
Epoch: 5, time: 0.097, Train Loss: 8.400e-03,Vali Loss: 1.795e-02, Train l2: 0.4661, Vali l2: 0.5869
Epoch: 6, time: 0.098, Train Loss: 9.085e-03,Vali Loss: 9.467e-03, Train l2: 0.3445, Vali l2: 0.3469
Epoch: 7, time: 0.097, Train Loss: 7.503e-03,Vali Loss: 9.156e-03, Train l2: 0.2985, Vali l2: 0.3483
Epoch: 8, time: 0.097, Train Loss: 6.300e-03,Vali Loss: 6.918e-03, Train l2: 0.2494, Vali l2: 0.2965
Epoch: 9, time: 0.097, Train Loss: 3.426e-03,Vali Loss: 6.479e-03, Train l2: 0.2606, Vali l2: 0.4343
Epoch: 10, time: 0.098, Train Loss: 3.346e-03,Vali Loss: 8.294e-03, Train l2: 0.2547, Vali l2: 0.3322
Epoch: 11, time: 0.097, Train Loss: 2.056e-03,Vali Loss: 6.485e-03, Train l2: 0.2887, Vali l2: 0.3503
Epoch: 12, time: 0.097, Train Loss: 1.782e-03,Vali Loss: 7.779e-03, Train l2: 0.1596, Vali l2: 0.2877
Epoch: 13, time: 0.097, Train Loss: 1.348e-03,Vali Loss: 7.546e-03, Train l2: 0.1245, Vali l2: 0.2836
Epoch: 14, time: 0.097, Train Loss: 8.612e-04,Vali Loss: 4.291e-03, Train l2: 0.1211, Vali l2: 0.4153
Epoch: 15, time: 0.097, Train Loss: 8.688e-04,Vali Loss: 6.375e-03, Train l2: 0.1194, Vali l2: 0.2669
Epoch: 16, time: 0.103, Train Loss: 7.787e-04,Vali Loss: 4.410e-03, Train l2: 0.1046, Vali l2: 0.2574
